Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns],energyWatts[W],energyJoules[J],energyDeltaT[s]
2025-11-12 10:02:55,0,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89428040,124334,1147697134,1237302373,214288,360.5949187889583,446.1640930175781,1.2373
2025-11-12 10:02:55,1,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89674939,115065,0,89822542,7961,409.36948344712323,36.7703857421875,0.089822
2025-11-12 10:02:55,2,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89698535,120651,0,89851696,6213,404.7825531991853,36.3701171875,0.089851
2025-11-12 10:02:55,3,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89687104,113557,0,89834895,5409,408.0456405182058,36.6563720703125,0.089834
2025-11-12 10:02:56,4,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89712566,117995,0,89871565,6276,407.03732431220095,36.5804443359375,0.08987
2025-11-12 10:02:56,5,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89716572,120423,0,89871484,5274,408.5187575281514,36.7139892578125,0.089871
2025-11-12 10:02:56,6,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89747395,113147,0,89891949,5587,407.4650566380394,36.62744140625,0.089891
2025-11-12 10:02:56,7,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89697642,111492,0,89843223,6231,405.0500092349625,36.3905029296875,0.089842
2025-11-12 10:02:57,8,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89698980,109285,0,89843682,5651,405.2266431102658,36.4063720703125,0.089842
2025-11-12 10:02:57,9,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89746355,112966,0,89891611,6328,404.36885888186805,36.34912109375,0.089891
2025-11-12 10:02:57,10,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89736899,115265,0,89888084,6874,408.1880127097078,36.6907958984375,0.089887
2025-11-12 10:02:57,11,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89352217,115622,212356900,301864569,5787,368.79822331964334,111.3265380859375,0.301863
2025-11-12 10:02:58,12,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89714592,105400,0,89851561,7281,406.73755848223726,36.5457763671875,0.089851
2025-11-12 10:02:58,13,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89773927,108860,0,89915537,6733,405.7448028172441,36.4825439453125,0.089915
2025-11-12 10:02:58,14,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89820113,111449,0,89971652,12041,405.36016442121735,36.4698486328125,0.089969
2025-11-12 10:02:58,15,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89833392,108610,0,89975844,7856,403.29127882745206,36.2861328125,0.089975
2025-11-12 10:02:59,16,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89935232,102120,0,90069800,7475,408.9421200690582,36.8330078125,0.090069
2025-11-12 10:02:59,17,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89924473,105574,0,90064827,7469,407.9103427493227,36.738037109375,0.090064
2025-11-12 10:02:59,18,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90051353,102211,0,90188024,6609,406.76388451911026,36.684814453125,0.090187
2025-11-12 10:02:59,19,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90086212,102381,0,90223662,6595,407.03453612853707,36.723876953125,0.090223
2025-11-12 10:03:00,20,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90092833,105016,0,90229600,6640,405.67622123291846,36.603759765625,0.090229
2025-11-12 10:03:00,21,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,89872566,114914,212367290,302393610,5560,366.8531939913457,110.933837890625,0.302393
2025-11-12 10:03:00,22,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90223775,111430,0,90367253,7343,406.46788081096184,36.731689453125,0.090368
2025-11-12 10:03:00,23,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90295574,106249,0,90435329,6598,411.21959021911005,37.188232421875,0.090434
2025-11-12 10:03:01,24,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90341619,108608,0,90482897,11704,405.7893860241703,36.717041015625,0.090483
2025-11-12 10:03:01,25,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90379405,106118,0,90517084,6008,409.4642615475546,37.0634765625,0.090517
2025-11-12 10:03:01,26,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90419241,113143,0,90565417,5605,408.13120238226685,36.96240234375,0.090565
2025-11-12 10:03:01,27,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90487540,117132,0,90639224,5609,406.23213618322336,36.820068359375,0.090638
2025-11-12 10:03:02,28,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90456645,104133,0,90596031,7256,408.6895090911851,37.025634765625,0.090596
2025-11-12 10:03:02,29,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90497134,120753,0,90652365,5748,410.0690992407779,37.173583984375,0.090652
2025-11-12 10:03:02,30,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90615228,110608,0,90758955,6330,410.1927266398003,37.228271484375,0.090758
2025-11-12 10:03:03,31,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90260660,114708,213986749,304400179,6719,366.08581861781283,111.435791015625,0.304398
2025-11-12 10:03:03,32,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90597388,106048,0,90736735,6687,412.1218381830255,37.394287109375,0.090736
2025-11-12 10:03:03,33,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90655651,108855,0,90801277,5978,410.3283314977973,37.2578125,0.0908
2025-11-12 10:03:03,34,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90646354,114783,0,90794686,6586,411.34229254548757,37.347412109375,0.090794
2025-11-12 10:03:03,35,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90709288,110924,0,90854119,5279,407.19752993847203,36.9951171875,0.090853
2025-11-12 10:03:04,36,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90673279,113862,0,90820466,4996,409.46915086159436,37.18798828125,0.09082
2025-11-12 10:03:04,37,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90734263,118333,0,90886936,7265,410.00184554689395,37.263427734375,0.090886
2025-11-12 10:03:04,38,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90757269,104498,0,90896669,6791,411.00241722774126,37.35888671875,0.090897
2025-11-12 10:03:04,39,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90805874,117473,0,90955670,6095,410.4128586938596,37.3291015625,0.090955
2025-11-12 10:03:05,40,LJFunctorAVX,false,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,90830620,111187,0,90978172,5742,408.2249370713155,37.138671875,0.090976
