Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-05 12:16:19,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,98356933593,98676269531,99851562500,98644335937,98644335937,10
2025-09-05 12:16:20,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,161698730468,52992919921,53425781250,63863500975,63863500975,10
2025-09-05 12:16:21,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,40572509765,39522949218,39944824218,39627905272,39627905272,10
2025-09-05 12:16:22,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,48231445312,48396484375,48716796875,48379980468,48379980468,10
2025-09-05 12:16:23,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,36895507812,37601074218,36860839843,36864306639,36864306639,10
2025-09-05 12:16:24,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,41002929687,40764160156,40943359375,40788037109,40788037109,10
2025-09-05 12:16:24,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,32669433593,32715332031,32972656250,32710742187,32710742187,10
2025-09-05 12:16:25,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,51890136718,52322265625,51980957031,51971874999,51971874999,10
2025-09-05 12:16:26,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,41677734375,42063964843,42063476562,42024902343,42024902343,10
2025-09-05 12:16:27,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,45287109375,45500976562,45608398437,45479589843,45479589843,10
2025-09-05 12:16:27,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,37348144531,37657226562,37787109375,37626318358,37626318358,10
2025-09-05 12:16:28,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,46778808593,46631347656,46850097656,46646093749,46646093749,10
2025-09-05 12:16:29,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,43137695312,42912597656,43116699218,42935107421,42935107421,10
2025-09-05 12:16:30,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,67075683593,67307617187,67680175781,67284423827,67284423827,10
2025-09-05 12:16:31,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,57179199218,57971679687,58743164062,57892431640,57892431640,10
2025-09-05 12:16:32,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,63232421875,63579101562,63422851562,63403808593,63403808593,10
2025-09-05 12:16:33,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,54936035156,55434082031,55197753906,55171582031,55171582031,10
2025-09-05 12:16:34,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,86860351562,87183593750,87086914062,87064257812,87064257812,10
2025-09-05 12:16:35,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,80688476562,80395507812,81230468750,80424804687,80424804687,10
