Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-06 22:39:39,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,253201317,255981403,250862223,251096132,251096132,10
2025-09-06 22:39:40,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,454041656,137920314,137149343,168838574,168838574,10
2025-09-06 22:39:41,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,104791312,105363988,103122061,103288986,103288986,10
2025-09-06 22:39:42,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,120532252,119780737,120335927,119855888,119855888,10
2025-09-06 22:39:43,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,93747756,93150343,93794420,93210084,93210084,10
2025-09-06 22:39:44,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,105894911,106361172,106024730,106011748,106011748,10
2025-09-06 22:39:44,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,85574150,85443254,85575431,85456343,85456343,10
2025-09-06 22:39:45,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,128776263,128958387,129607191,128940174,128940174,10
2025-09-06 22:39:46,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,104774143,104688696,104932716,104697240,104697240,10
2025-09-06 22:39:47,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,117080754,117061534,117916330,117063456,117063456,10
2025-09-06 22:39:47,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,97969583,97833105,97889222,97846752,97846752,10
2025-09-06 22:39:48,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,122181351,122759339,123361502,122701540,122701540,10
2025-09-06 22:39:49,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,113421504,113166120,112984830,113028497,113028497,10
2025-09-06 22:39:50,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,167530837,167580268,167893566,167575324,167575324,10
2025-09-06 22:39:51,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,144759847,144901905,145535308,144887699,144887699,10
2025-09-06 22:39:52,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,164026855,164117154,163974739,163979950,163979950,10
2025-09-06 22:39:53,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,146061828,145628665,145618775,145663080,145663080,10
2025-09-06 22:39:54,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,216419338,216791625,217090645,216754396,216754396,10
2025-09-06 22:39:55,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,200611948,200678008,200775863,200671402,200671402,10
2025-09-06 22:39:56,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,258160754,258216741,258176660,258175069,258175069,10
2025-09-06 22:39:57,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,195234738,195274253,195138693,195148297,195148297,10
2025-09-06 22:39:58,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,215743787,215795033,216283339,215789908,215789908,10
2025-09-06 22:39:59,68,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,167215779,166935747,167775473,166963750,166963750,10
2025-09-06 22:40:00,71,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,146922517,147291243,147539958,147254370,147254370,10
2025-09-06 22:40:01,74,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,93858320,93951838,94061643,93942486,93942486,10
2025-09-06 22:40:02,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,168071401,168354036,168298708,168275977,168275977,10
2025-09-06 22:40:03,80,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,130782417,130985938,130805362,130803067,130803067,10
2025-09-06 22:40:03,83,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,121621972,121066517,122347838,121122062,121122062,10
2025-09-06 22:40:04,86,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,81826439,81879527,81801974,81804420,81804420,10
2025-09-06 22:40:06,89,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,172042337,171782500,171759231,171787541,171787541,10
2025-09-06 22:40:07,92,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,176395119,176149331,175812888,175871111,175871111,10
