Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-06 22:41:09,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,100858642578,100656494140,99881591796,99979296874,99979296874,10
2025-09-06 22:41:10,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,165100830078,54124511718,53984375000,65096020507,65096020507,10
2025-09-06 22:41:11,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,41054687500,40799316406,40452148437,40512402343,40512402343,10
2025-09-06 22:41:12,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,48907226562,48316894531,48851074218,48375927734,48375927734,10
2025-09-06 22:41:12,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,38104492187,37355468750,38261718750,37430371093,37430371093,10
2025-09-06 22:41:13,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,41377441406,41589843750,41467285156,41458300781,41458300781,10
2025-09-06 22:41:14,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,32919921875,33000488281,33019042968,32992431640,32992431640,10
2025-09-06 22:41:15,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,52494628906,52500488281,52456542968,52460351561,52460351561,10
2025-09-06 22:41:16,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,42269531250,42783203125,41712402343,41768115233,41768115233,10
2025-09-06 22:41:16,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,45910644531,46059570312,46016601562,46006005858,46006005858,10
2025-09-06 22:41:17,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,37972167968,37801757812,37890136718,37818798827,37818798827,10
2025-09-06 22:41:18,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,47595703125,47731933593,47847656250,47718310546,47718310546,10
2025-09-06 22:41:19,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,43789550781,44249511718,44066894531,44039160156,44039160156,10
2025-09-06 22:41:20,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,67773925781,68067382812,67669433593,67679882811,67679882811,10
2025-09-06 22:41:21,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,58296386718,58740234375,59037109375,58695849609,58695849609,10
2025-09-06 22:41:21,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,64207519531,64355468750,64315917968,64305078124,64305078124,10
2025-09-06 22:41:22,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,56348144531,56377929687,56324218750,56326611328,56326611328,10
2025-09-06 22:41:23,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,87490234375,87863281250,87525390625,87521875000,87521875000,10
2025-09-06 22:41:25,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,80498046875,80496093750,81030273437,80496289062,80496289062,10
2025-09-06 22:41:26,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,99957031250,99876953125,100316406250,99884960937,99884960937,10
2025-09-06 22:41:27,62,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,74461914062,74295898437,74753906250,74312499999,74312499999,10
2025-09-06 22:41:28,65,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,76558593750,76304687500,77116210937,76330078125,76330078125,10
