Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns],energyWatts[W],energyJoules[J],energyDeltaT[s]
2025-10-24 22:26:21,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,248663568,118179,179,248824294,692152638,403.63861183451695,100.4345703125,0.248823
2025-10-24 22:26:22,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,247789930,118133,0,247940275,11766,402.39975838408486,99.77099609375,0.24794
2025-10-24 22:26:22,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,247534981,108326,0,247671992,12692,403.0635336292905,99.8271484375,0.247671
2025-10-24 22:26:23,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,248106827,126921,0,248267528,11204,403.3965915716409,100.149658203125,0.248266
2025-10-24 22:26:23,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,248920577,111283,0,249061640,12172,403.0398438754718,100.381103515625,0.24906
2025-10-24 22:26:23,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,251081883,115190,0,251228898,12548,403.3999956339287,101.344970703125,0.251227
2025-10-24 22:26:24,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,248782422,111809,0,248925621,11889,404.6655084734698,100.73095703125,0.248924
2025-10-24 22:26:24,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,247327657,115560,0,247473401,11180,402.25742429477157,99.5478515625,0.247473
2025-10-24 22:26:25,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,246948183,109552,0,247087429,12137,403.840312951511,99.78369140625,0.247087
2025-10-24 22:26:25,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,247913776,108583,0,248054074,12503,403.6829452778237,100.134765625,0.248053
2025-10-24 22:26:26,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,461307474,112040,35,461456829,12807,357.5088618958254,164.974609375,0.461456
2025-10-24 22:26:26,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,138631087,114816,0,138784506,12594,393.16381058919325,54.564453125,0.138783
2025-10-24 22:26:26,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,137272797,111407,0,137416166,12479,394.0184329858458,54.14404296875,0.137415
2025-10-24 22:26:27,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,137549386,111575,0,137696070,12269,392.55053628490504,54.05224609375,0.137695
2025-10-24 22:26:27,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,137617982,110564,0,137763193,11798,394.4437179247543,54.33935546875,0.137762
2025-10-24 22:26:27,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,137355118,111964,0,137501031,12665,396.77556818181813,54.556640625,0.1375
2025-10-24 22:26:27,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,137569136,117253,0,137718795,11896,395.0271115613064,54.40234375,0.137718
2025-10-24 22:26:28,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,137554897,111640,0,137699627,11060,394.0277704650758,54.2568359375,0.137698
2025-10-24 22:26:28,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,137272036,111375,0,137419107,13195,394.2621122232895,54.1787109375,0.137418
2025-10-24 22:26:28,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,141428500,115067,0,141575763,11323,396.14262572047124,56.08349609375,0.141574
2025-10-24 22:26:29,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,105136429,112465,110,105287466,12011,392.7453406673252,41.3505859375,0.105286
2025-10-24 22:26:29,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,105538998,141585,0,105717905,13816,386.0764039975027,40.814453125,0.105716
2025-10-24 22:26:29,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,105086662,142158,0,105267452,15100,388.84841976202915,40.93212890625,0.105265
2025-10-24 22:26:29,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,107372149,115412,0,107521666,12536,388.7221926734561,41.79541015625,0.10752
2025-10-24 22:26:30,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,104329544,115553,0,104481642,12115,389.14819223774884,40.658203125,0.10448
2025-10-24 22:26:30,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,106331144,115431,0,106483174,12310,389.8555332054545,41.51220703125,0.106481
2025-10-24 22:26:30,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,104585086,113101,0,104730181,14206,389.9051292395539,40.833984375,0.104728
2025-10-24 22:26:30,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,106482016,111381,0,106627751,12919,391.4044109199445,41.73388671875,0.106626
2025-10-24 22:26:31,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,105086613,114734,0,105235267,13312,390.69738401927157,41.1142578125,0.105233
2025-10-24 22:26:31,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,106356152,117004,0,106508447,12879,390.1903854008225,41.5576171875,0.106506
2025-10-24 22:26:31,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,121298646,130014,79,121463336,18551,406.90439166659803,49.423828125,0.121463
2025-10-24 22:26:31,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,121220988,134233,0,121390638,12871,405.6125272880798,49.2373046875,0.12139
2025-10-24 22:26:32,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,122967029,105702,0,123105512,12310,405.6655141951992,49.939453125,0.123105
2025-10-24 22:26:32,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,122497877,131466,0,122664168,11745,405.3041284861776,49.7158203125,0.122663
2025-10-24 22:26:32,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,122503715,118398,0,122654725,11739,408.02832737478906,50.0458984375,0.122653
2025-10-24 22:26:33,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,122880586,145076,0,123061124,13025,406.8607017264076,50.06787109375,0.123059
2025-10-24 22:26:33,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,123356361,140758,0,123534270,14048,408.42610122396445,50.4541015625,0.123533
2025-10-24 22:26:33,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,123428704,110868,0,123571565,12633,404.1073632354131,49.935546875,0.12357
2025-10-24 22:26:33,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,123949291,117315,0,124098099,12047,406.56659706441684,50.4541015625,0.124098
2025-10-24 22:26:34,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,124773996,129208,0,124935434,11654,402.76344034650293,50.31884765625,0.124934
2025-10-24 22:26:34,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,97620693,129495,86,97784354,11346,406.08293683462364,39.7080078125,0.097783
2025-10-24 22:26:34,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,97381655,117707,0,97522249,12943,407.8398418673927,39.77294921875,0.097521
2025-10-24 22:26:34,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,97754818,127003,0,97904639,11842,404.32923290927846,39.58544921875,0.097904
2025-10-24 22:26:35,43,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,98370871,136519,0,98534247,10643,408.928671105112,40.29296875,0.098533
2025-10-24 22:26:35,44,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,98296931,130303,0,98450341,12836,410.0669756221432,40.37109375,0.09845
2025-10-24 22:26:35,45,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,98465454,127024,0,98615434,11306,405.508876058409,39.9892578125,0.098615
2025-10-24 22:26:35,46,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,98645928,123763,0,98792603,12210,407.8903790578089,40.2958984375,0.098791
2025-10-24 22:26:36,47,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,98934532,119020,0,99075865,12399,408.1208207166288,40.4345703125,0.099075
2025-10-24 22:26:36,48,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,98926033,129398,0,99079665,10471,408.44931822081367,40.46875,0.099079
