Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-10-24 22:26:25,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,100434570312,99770996093,99827148437,100149658203,100381103515,101344970703,100730957031,99547851562,99783691406,100134765625,99636523437,99636523437,10
2025-10-24 22:26:28,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,164974609375,54564453125,54144042968,54052246093,54339355468,54556640625,54402343750,54256835937,54178710937,56083496093,65144482421,65144482421,10
2025-10-24 22:26:31,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,41350585937,40814453125,40932128906,41795410156,40658203125,41512207031,40833984375,41733886718,41114257812,41557617187,40727441406,40727441406,10
2025-10-24 22:26:34,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,49423828125,49237304687,49939453125,49715820312,50045898437,50067871093,50454101562,49935546875,50454101562,50318847656,49255957030,49255957030,10
2025-10-24 22:26:36,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,39708007812,39772949218,39585449218,40292968750,40371093750,39989257812,40295898437,40434570312,40468750000,40280273437,39597705077,39597705077,10
2025-10-24 22:26:39,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,42121093750,41876953125,41793945312,41793945312,41987304687,42081054687,41834960937,41781250000,41974609375,41451171875,41518164062,41518164062,10
2025-10-24 22:26:41,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,33738281250,33743164062,33825195312,33698242187,33595703125,33802734375,33651367187,33800781250,33669921875,34055664062,33609960937,33609960937,10
2025-10-24 22:26:44,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,56502929687,56747070312,56937500000,57242187500,57285156250,57014648437,57212890625,57432617187,57144531250,57287109375,56722656249,56722656249,10
2025-10-24 22:26:47,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,46280273437,46497070312,46793945312,46746093750,46842773437,46613281250,46504882812,46588867187,46759765625,46956054687,46475390624,46475390624,10
2025-10-24 22:26:49,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,46720703125,46763671875,47022460937,46969726562,46781250000,46538085937,46854492187,46802734375,46907226562,47041992187,46556347655,46556347655,10
2025-10-24 22:26:52,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,39267578125,38876953125,39274414062,39196289062,39354492187,39186523437,39313476562,39259765625,39472656250,39144531250,38916015625,38916015625,10
2025-10-24 22:26:55,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,49907226562,49673828125,50074218750,49850585937,49970703125,49958984375,49973632812,50144531250,50131835937,49862304687,49697167968,49697167968,10
2025-10-24 22:26:57,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,46146484375,46180664062,45799804687,46181640625,46187500000,46195312500,46268554687,46123046875,46324218750,46191406250,45834472655,45834472655,10
2025-10-24 22:27:01,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,73816406250,73862304687,73802734375,74025390625,73892578125,73996093750,74066406250,74248046875,74144531250,74396484375,73804101562,73804101562,10
2025-10-24 22:27:04,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,63814453125,63847656250,63796875000,63820312500,64132812500,64236328125,64205078125,64353515625,64351562500,64333984375,63798632812,63798632812,10
