Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-05 10:59:39,2,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,246421263,248870310,248135007,247963632,247963632,10
2025-09-05 10:59:40,5,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,459118380,137219884,137178308,169372315,169372315,10
2025-09-05 10:59:41,8,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,105385378,105729469,104204386,104322485,104322485,10
2025-09-05 10:59:42,11,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,120043138,119606568,119376989,119443603,119443603,10
2025-09-05 10:59:43,14,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,93046378,92753816,93142936,92783072,92783072,10
2025-09-05 10:59:43,17,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,106625889,106495163,106383167,106407439,106407439,10
2025-09-05 10:59:44,20,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,85815892,85955331,85845138,85842213,85842213,10
2025-09-05 10:59:45,23,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,128431808,128911719,128566941,128553427,128553427,10
2025-09-05 10:59:46,26,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,104340888,104172252,105128162,104189115,104189115,10
2025-09-05 10:59:47,29,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,117549261,117402733,117466709,117417385,117417385,10
2025-09-05 10:59:47,32,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,98601101,98490937,98444729,98460366,98460366,10
2025-09-05 10:59:48,35,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,123370610,122791381,122863872,122849303,122849303,10
2025-09-05 10:59:49,38,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,114477520,114159771,114109821,114146590,114146590,10
2025-09-05 10:59:50,41,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,167383662,167745600,167620765,167597054,167597054,10
2025-09-05 10:59:51,44,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,144568231,144824939,145183638,144799268,144799268,10
2025-09-05 10:59:52,47,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,164743215,164738765,164814294,164739210,164739210,10
2025-09-05 10:59:53,50,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,146548715,146462617,146475322,146471226,146471226,10
2025-09-05 10:59:54,53,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,217193843,217377502,217681235,217359136,217359136,10
2025-09-05 10:59:55,56,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,201884289,201999886,202250416,201988326,201988326,10
2025-09-05 10:59:56,59,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,260257013,260185579,260197627,260192722,260192722,10
