Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-08 18:13:46,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,243853013,247522957,243814211,247185817,243913497,244236129,247226759,243497866,245630513,244635145,243533380,243533380,10
2025-09-08 18:13:49,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,454144227,136857170,136725782,136821925,137181978,138300241,137107453,137585297,137021604,137207532,168467626,168467626,10
2025-09-08 18:13:52,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,106398169,105272005,104492445,105454770,106355291,105781802,106031138,105149152,105992387,106117626,104683017,104683017,10
2025-09-08 18:13:54,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,122184119,122242441,122246483,122619788,123059911,123214242,123675883,124010323,124007054,124255804,122236608,122236608,10
2025-09-08 18:13:57,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,98412209,97816952,97810759,98402475,98218975,98249077,98919860,98598513,99266208,99460624,97870904,97870904,10
2025-09-08 18:13:59,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,107272202,107473650,107648738,108134334,107739158,107702238,107793851,107828201,107750899,107445897,107428527,107428527,10
2025-09-08 18:14:02,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,87238217,87014903,87385983,87225954,86982497,87316694,87330682,87344803,87305068,87239092,87008069,87008069,10
2025-09-08 18:14:05,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,139852014,140021614,140288062,140061890,140329643,140372792,140640212,140936205,141809326,141695023,140004654,140004654,10
2025-09-08 18:14:07,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,114010068,114367039,114721107,114093319,114568191,114458137,114780326,114803308,115380766,114996448,114084993,114084993,10
2025-09-08 18:14:10,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,119692792,120269548,119844678,119826660,120239112,119985295,119972531,119899564,120031610,120012564,119813273,119813273,10
2025-09-08 18:14:13,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,100990538,100723601,100715168,100707195,100831110,100920845,100821024,100971534,100992489,101066037,100735529,100735529,10
2025-09-08 18:14:15,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,127947569,126838178,126776142,127994085,127649131,127804492,127373071,127516403,127682525,127369261,126893284,126893284,10
2025-09-08 18:14:18,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,118914346,117954144,118120297,118262554,118214579,118197001,118384699,118354836,118297383,118358198,118050164,118050164,10
2025-09-08 18:14:21,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,181689119,181622334,181936482,181685235,181922293,182198790,182203686,182464271,182743615,182808613,181629012,181629012,10
2025-09-08 18:14:24,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,156864204,156853269,156725950,157089095,156968531,156935115,157181203,157529586,157420686,157767661,156739775,156739775,10
2025-09-08 18:14:28,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,181822924,178063453,178304514,178209013,178596362,178488220,178719345,178776395,178782836,178953783,178439400,178439400,10
2025-09-08 18:14:31,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,160641789,157602972,157673641,157863083,157850445,157966518,158164631,158219611,158588756,158470643,157906853,157906853,10
2025-09-08 18:14:35,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,232746321,232391645,232699940,232996457,233291135,233432110,233648813,233750495,233966208,234011039,232427112,232427112,10
2025-09-08 18:14:38,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,213970530,214132392,214128744,214354180,214557241,214573857,214791311,214979487,215133449,215461774,214112922,214112922,10
2025-09-08 18:14:43,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,293801598,286926718,286977315,287094358,287367000,287441251,287574425,287693650,287927575,287915497,287614206,287614206,10
2025-09-08 18:14:46,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,211919007,208266187,208458509,208480228,208556766,208758116,208795369,208988225,209106622,209153055,208631469,208631469,10
2025-09-08 18:14:50,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,259186586,259362612,258734194,259033545,258393295,258914496,259441026,259835694,260093956,260958316,258472624,258472624,10
2025-09-08 18:14:54,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,204630414,204829172,204745770,205190286,205774892,206542483,205184386,205049152,205401636,206349908,204734234,204734234,10
2025-09-08 18:14:57,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,217566650,205562639,205646189,206192243,205714721,206188008,206206140,206835993,206579015,207080074,206763040,206763040,10
2025-09-08 18:15:00,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,124567758,119045026,118202131,118900243,119191845,119835778,119220341,120262994,119528570,120082042,118838693,118838693,10
2025-09-08 18:15:04,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,202127707,202302442,202476058,203245097,204089056,203006043,206214938,205597149,208750760,205074268,202284968,202284968,10
2025-09-08 18:15:07,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,166533323,160499662,160462568,160844879,161224957,163990892,166739804,162375908,168101237,162484144,161069643,161069643,10
2025-09-08 18:15:10,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,184840669,169489011,170449873,170308217,170221391,170517195,170853526,170715150,171293935,171544274,171024176,171024176,10
2025-09-08 18:15:13,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,106411823,102777615,102791622,102779292,103323835,103127114,103304773,103395970,103605081,104227474,103141035,103141035,10
2025-09-08 18:15:17,299,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,203087011,203062806,202984717,202632292,203145945,203380420,203215706,203745109,204536806,204287284,202677763,202677763,10
2025-09-08 18:15:21,309,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,159269489,160278625,160258673,159735088,160078207,160638205,160641044,161079271,161347908,160513572,159688528,159688528,10
2025-09-08 18:15:24,319,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,213910984,170057691,170559184,171160379,171005927,170587612,171231210,171265904,170820034,171572243,174443020,174443020,10
2025-09-08 18:15:27,329,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,125062495,104022247,103928936,104517183,104205105,104260882,104882532,105199851,105205889,105295715,106042291,106042291,10
2025-09-08 18:15:32,339,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,264454546,264198352,264089876,264275395,264165633,265298562,265557207,264896229,266057803,266352800,264126343,264126343,10
2025-09-08 18:15:35,349,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,207316148,207057448,207835578,207620685,207719557,208206748,208611461,209021683,208990323,209622371,207083318,207083318,10
