Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-11 15:42:17,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,254799877,252382887,254638854,254801972,253332820,255025338,251135972,252162600,251247019,254296085,251502362,251502362,10
2025-09-11 15:42:20,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,463713603,138950516,138900099,139309594,139508610,140145195,139546449,140294203,140023478,140493079,171381449,171381449,10
2025-09-11 15:42:23,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,104668871,104555342,105476893,104713500,105340469,106214620,104984672,104882629,105034762,105824439,104566694,104566694,10
2025-09-11 15:42:25,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,123932053,124620585,125316060,125021270,125641062,125877077,126279223,126590334,126903099,127264186,124551731,124551731,10
2025-09-11 15:42:28,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,99476929,99359492,99566083,99787046,100597024,100336253,100850187,100747757,100853951,101226153,99371235,99371235,10
2025-09-11 15:42:30,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,108512983,108412012,108267300,108053852,108162496,108790969,108159624,108401292,108965874,108668957,108099765,108099765,10
2025-09-11 15:42:33,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,86178697,86288431,86241708,86465738,86236265,86289121,86176331,86418593,86612030,86609559,86176567,86176567,10
2025-09-11 15:42:36,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,142125587,142151758,142447194,142840925,142769398,142817565,143081448,143525239,143191420,143249365,142149140,142149140,10
2025-09-11 15:42:38,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,115969496,116471915,117025140,116298179,116336820,116545631,116602639,117034614,117267051,116602947,116265310,116265310,10
2025-09-11 15:42:41,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,119307457,119112998,119086068,119446266,119599679,119395363,119712734,119522741,120476370,119686659,119108206,119108206,10
2025-09-11 15:42:43,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,98473299,98506499,98451462,98558018,98717240,98596416,98613299,98696367,98854733,98781099,98453645,98453645,10
2025-09-11 15:42:46,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,124634378,124902275,124227912,124747187,125072400,124490577,124652099,125122408,125438240,125316735,124268558,124268558,10
2025-09-11 15:42:49,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,114597491,113787479,113451781,113669207,113791361,113878706,113894081,113757556,114034113,114123552,113566352,113566352,10
2025-09-11 15:42:52,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,183362330,183706796,183932439,184024114,184001411,183967584,184397886,184587551,184746446,184740614,183672349,183672349,10
2025-09-11 15:42:55,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,157867058,158029468,157995052,158180275,158270451,158443021,158572352,158835891,158905023,158646612,157982252,157982252,10
2025-09-11 15:42:58,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,179041384,175316979,175520431,175585203,176092073,175763487,176208581,176126764,176235663,176239571,175689419,175689419,10
2025-09-11 15:43:01,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,156427796,153547790,153678523,153878755,153888893,154056906,154145077,154320833,154528937,154442429,153835790,153835790,10
2025-09-11 15:43:05,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,233366112,233626437,233492007,233735218,234008429,233837631,234438878,234194052,234558539,234793515,233479417,233479417,10
2025-09-11 15:43:09,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,213974746,213789961,213740452,214054463,214165492,214291983,214762768,214538314,214784089,215062799,213763881,213763881,10
2025-09-11 15:43:13,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,285642216,278903409,279037822,279195463,279357092,279520535,279551639,279738208,280173477,280008727,279577289,279577289,10
2025-09-11 15:43:17,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,206923847,203337700,203490580,203857925,203745161,203876143,204049973,204133355,204248609,204379934,203696314,203696314,10
2025-09-11 15:43:21,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,261972906,261818365,261577980,261999884,262718515,262455308,262751938,262558261,264960024,263716265,261617472,261617472,10
2025-09-11 15:43:24,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,207108743,206890159,206232721,207619323,207489281,207778869,207955410,208058197,209268910,210481396,206320323,206320323,10
2025-09-11 15:43:28,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,219367339,208517807,208416524,209265888,209363879,208411621,208793225,209480698,209376545,209962411,209507192,209507192,10
2025-09-11 15:43:31,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,125699375,120036299,120735748,120827380,120477911,120390978,121128264,121363390,121727035,121633183,120602606,120602606,10
2025-09-11 15:43:35,259,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,265938221,266575799,265604872,266037739,266229951,265979097,266640318,267078161,267766652,267699493,265638206,265638206,10
2025-09-11 15:43:39,269,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,209312310,209666798,209813261,210551563,210702498,210270521,210687695,210898444,210724497,210827474,209631349,209631349,10
2025-09-11 15:43:42,279,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,227331285,211621493,211004634,212766479,211250299,212104159,212485507,212496832,212952232,213702221,212637299,212637299,10
2025-09-11 15:43:45,289,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,124304857,121915778,121649430,122396788,122774835,122040072,122795101,122844558,123303965,122989868,121914972,121914972,10
2025-09-11 15:44:01,299,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,2417049078,1044090966,1051774181,1059097466,1068935192,1077939458,1084688106,1095080099,1106958068,1117058620,1181386777,1181386777,10
2025-09-11 15:44:15,309,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,2035446096,919864449,913208559,913486297,915180111,916957009,917031091,916611458,918060785,919227479,1025432312,1025432312,10
2025-09-11 15:44:30,319,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,2151102841,1059236957,1062844762,1069017948,1080389047,1089205585,1095367510,1106331268,1116432192,1126344992,1168423545,1168423545,10
2025-09-11 15:44:44,329,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,1329617740,935842543,949540677,957523608,968391089,977382567,987354639,994586003,1005638464,1014068430,975220062,975220062,10
2025-09-11 15:44:57,339,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,2043136894,930089392,924786887,924794238,926521259,927515466,927811188,928999054,926356698,929334054,1036621887,1036621887,10
2025-09-11 15:45:10,349,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,1281105053,886391137,886638912,886273564,887726259,888571500,890602748,890173703,890424192,892953338,925756712,925756712,10
2025-09-11 15:45:25,359,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,AoS,disabled,2173305672,1070151659,1078016800,1086684920,1095591527,1104059986,1110854409,1118304049,1130798985,1138865936,1180467060,1180467060,10
2025-09-11 15:45:39,369,pairwise,VerletClusterLists,1.000000,vcl_cluster_iteration,none,SoA,disabled,2035029191,926844320,919870892,922081818,922275245,923840508,922935503,925760103,924462786,926767104,1031386721,1031386721,10
2025-09-11 15:45:56,379,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,2358746389,1185795744,1191729486,1200758007,1210019133,1219047738,1226561121,1234774146,1244906543,1251351841,1303090808,1303090808,10
2025-09-11 15:46:10,389,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,1438704952,1022771460,1030804769,1040268853,1048275500,1056417522,1065225876,1071866498,1082274317,1091260076,1064364809,1064364809,10
2025-09-11 15:46:24,399,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,2085537167,946412091,942876382,943590039,946147209,945020482,944398809,945561969,947207858,948890471,1057142460,1057142460,10
2025-09-11 15:46:37,409,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,1312551033,905070906,906481642,908055674,907847501,907340542,909482140,911602187,911648935,914082105,945818918,945818918,10
2025-09-11 15:46:53,419,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,2342884500,1169639670,1180820702,1185433997,1192622457,1204080907,1211694625,1218295744,1230766468,1237483752,1286964153,1286964153,10
2025-09-11 15:47:07,429,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,1431744730,1014780521,1026218934,1033403142,1040265390,1048192513,1055423709,1065193043,1074702571,1080853775,1056476941,1056476941,10
2025-09-11 15:47:21,439,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,2084819572,948298194,942794084,945019350,944890363,945271547,947034754,949163976,948936549,950021174,1056996632,1056996632,10
