Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-20 12:06:20,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,238992706298,29649780273,29427612304,29507934570,29501159667,29499816894,29574218750,29532104492,29486572265,29655395507,50384121703,50384121703,10
2026-02-20 12:06:23,19,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,25460327148,25540405273,25398071289,25367797851,25254150390,25209472656,25627319335,25587890625,25330810546,25592773437,25234558105,25234558105,10
2026-02-20 12:33:57,5009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,37500000000,37093750000,37187500000,37062500000,37187500000,37187500000,37000000000,37187500000,37031250000,37125000000,37050000000,37050000000,10
2026-02-20 12:34:01,5019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,35218750000,35187500000,35187500000,34968750000,35187500000,35437500000,35187500000,34937500000,35375000000,35093750000,34965625000,34965625000,10
2026-02-20 13:01:56,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,37500000000,37062500000,37062500000,36937500000,37062500000,37187500000,37187500000,37250000000,37187500000,37062500000,36993750000,36993750000,10
2026-02-20 13:01:59,10019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,35562500000,34937500000,34937500000,35062500000,35062500000,34937500000,34937500000,34687500000,35125000000,35125000000,34775000000,34775000000,10
2026-02-20 13:30:03,15009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,37625000000,36875000000,36875000000,36750000000,36750000000,37125000000,37125000000,37250000000,37250000000,37500000000,36837500000,36837500000,10
2026-02-20 13:30:07,15019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,35500000000,35125000000,35000000000,35000000000,35250000000,35125000000,35125000000,34875000000,35250000000,35375000000,34937500000,34937500000,10
2026-02-20 13:58:14,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,37375000000,36875000000,37125000000,37000000000,37125000000,36875000000,37000000000,37125000000,37250000000,37250000000,36925000000,36925000000,10
2026-02-20 13:58:18,20019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,35375000000,34875000000,34875000000,34625000000,34875000000,35000000000,35125000000,35000000000,35000000000,35250000000,34700000000,34700000000,10
