Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns],energyWatts[W],energyJoules[J],energyDeltaT[s]
2026-02-23 11:27:08,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,749886778,120367,431,750040782,93712337,338.98605678573824,254.25106811523438,0.750034
2026-02-23 11:27:09,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78899055,115324,0,79039525,94172800,393.2184091872367,31.07958984375,0.079039
2026-02-23 11:27:09,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78908805,113999,0,79047709,94139704,391.6988753075663,30.9630126953125,0.079048
2026-02-23 11:27:09,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78794521,114299,0,78931268,94077291,390.68624239060205,30.837646484375,0.078932
2026-02-23 11:27:10,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78709865,111981,0,78845351,93625549,389.55856461810663,30.71435546875,0.078844
2026-02-23 11:27:10,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78856275,113917,0,78993440,93628865,392.42129247211784,30.99853515625,0.078993
2026-02-23 11:27:10,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78996615,115750,0,79137316,93651842,389.15744758693785,30.7967529296875,0.079137
2026-02-23 11:27:11,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78937970,113713,0,79076858,93686102,390.9917805588224,30.91845703125,0.079077
2026-02-23 11:27:11,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78964643,114467,0,79102892,93646187,390.4543240893202,30.8861083984375,0.079103
2026-02-23 11:27:11,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78650807,113042,0,78788208,93625944,389.82025657389545,30.7127685546875,0.078787
2026-02-23 11:27:12,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70991322,110320,452,71126942,93710120,375.86830117063386,26.7340087890625,0.071126
2026-02-23 11:27:12,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71058598,110475,0,71195944,93708287,376.14856786195855,26.7802734375,0.071196
2026-02-23 11:27:12,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71233363,109612,0,71369283,94002974,375.1854632701173,26.776611328125,0.071369
2026-02-23 11:27:12,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70975891,112535,0,71115195,93718114,375.7805359277227,26.7236328125,0.071115
2026-02-23 11:27:13,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70913910,109219,0,71050117,93692232,376.09009550187193,26.7208251953125,0.071049
2026-02-23 11:27:13,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71123728,110876,0,71260771,93874390,374.46453380673046,26.68359375,0.071258
2026-02-23 11:27:13,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70867828,110502,0,71004435,93617536,377.40482796501556,26.796875,0.071003
2026-02-23 11:27:14,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70820065,109850,0,70956338,93707486,377.53470778603037,26.78759765625,0.070954
2026-02-23 11:27:14,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71047141,111185,0,71188653,93600394,377.22156411107363,26.853271484375,0.071187
2026-02-23 11:27:14,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71212743,113813,0,71352491,93639868,375.4972596248178,26.79248046875,0.071352
2026-02-23 11:27:15,20,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71788267,113256,385,71926999,93697339,376.2022886253041,27.058349609375,0.071925
2026-02-23 11:27:15,21,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71723643,109502,0,71859113,93635473,374.4755751875252,26.90869140625,0.071857
