Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns],energyWatts[W],energyJoules[J],energyDeltaT[s]
2026-02-24 23:44:17,0,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,743147514,118908,274,743309112,93609185,323.8212199741407,240.69696044921875,0.743302
2026-02-24 23:44:18,1,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70463285,108208,0,70606790,93666523,367.65456425888027,25.9586181640625,0.070606
2026-02-24 23:44:18,2,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70302746,113896,0,70452195,93575355,367.7036568967261,25.90509033203125,0.070451
2026-02-24 23:44:18,3,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70140480,109282,0,70283300,93643801,369.3416358051315,25.95806884765625,0.070282
2026-02-24 23:44:19,4,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,69896994,111199,0,70043478,93644824,372.81185278788087,26.11248779296875,0.070042
2026-02-24 23:44:19,5,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70081500,108928,0,70228705,93438644,369.45963337717865,25.9464111328125,0.070228
2026-02-24 23:44:19,6,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,69771708,109463,0,69916131,93414484,370.1673320952227,25.8802490234375,0.069915
2026-02-24 23:44:20,7,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70057295,113462,0,70204180,93350392,368.1862359202954,25.8477783203125,0.070203
2026-02-24 23:44:20,8,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,69942752,108291,0,70086354,93313894,369.47845417617896,25.8948974609375,0.070085
2026-02-24 23:44:20,9,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,69933323,108763,0,70081063,93416939,365.93221827060296,25.6427001953125,0.070075
2026-02-24 23:44:20,10,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,69684852,113156,0,69833078,93411112,371.41140690782873,25.9364013671875,0.069832
2026-02-24 23:44:21,11,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70285615,108869,278,70429015,93344536,366.437991851723,25.807861328125,0.070429
2026-02-24 23:44:21,12,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70241515,111890,0,70388503,93369405,368.01111344690776,25.9031982421875,0.070387
2026-02-24 23:44:21,13,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70223779,108920,0,70367630,93426349,366.55442126191963,25.7933349609375,0.070367
2026-02-24 23:44:22,14,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,69989835,110389,0,70135853,93503181,367.0202838272093,25.7406005859375,0.070134
2026-02-24 23:44:22,15,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70100517,108040,0,70242807,93487967,369.4294881862089,25.9490966796875,0.070241
2026-02-24 23:44:22,16,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,69657750,108957,0,69808432,93402157,372.13197805646286,25.9774169921875,0.069807
2026-02-24 23:44:23,17,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70354865,108681,0,70498475,93345296,367.3970612224633,25.900390625,0.070497
2026-02-24 23:44:23,18,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70038188,109046,0,70189263,93363887,367.7866442180287,25.814208984375,0.070188
2026-02-24 23:44:23,19,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70120596,109382,0,70264008,93464835,369.3329270473079,25.950439453125,0.070263
2026-02-24 23:44:23,20,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70195492,109220,0,70340725,93325015,370.6015813815041,26.068115234375,0.07034
2026-02-24 23:44:24,21,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70133810,108362,345,70275292,93520521,368.66714352036314,25.90771484375,0.070274
2026-02-24 23:44:24,22,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70165548,109162,0,70306458,93423432,368.1503804850295,25.8828125,0.070305
2026-02-24 23:44:24,23,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70338114,108055,0,70481264,93479726,369.17263208534337,26.019287109375,0.07048
2026-02-24 23:44:25,24,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70272077,108893,0,70415928,93490189,367.4885888571327,25.876708984375,0.070415
2026-02-24 23:44:25,25,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70558721,110769,0,70701441,93463297,371.51323774593004,26.266357421875,0.070701
2026-02-24 23:44:25,26,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70192350,107341,0,70331640,93447180,370.012074772501,26.02294921875,0.07033
2026-02-24 23:44:26,27,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70460410,108108,0,70601845,93425265,367.50080227514167,25.945556640625,0.0706
2026-02-24 23:44:26,28,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70169913,108670,0,70312695,93327790,368.20924401942796,25.88916015625,0.070311
2026-02-24 23:44:26,29,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70232906,108402,0,70378233,93446755,369.04687766422273,25.972412109375,0.070377
2026-02-24 23:44:27,30,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70258283,107795,0,70402202,93467983,371.575636611886,26.15966796875,0.070402
2026-02-24 23:44:27,31,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70547019,109152,340,70688574,93461677,369.6198159075798,26.127685546875,0.070688
2026-02-24 23:44:27,32,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70559787,111692,0,70705818,93383457,365.42020142955135,25.836669921875,0.070704
2026-02-24 23:44:28,33,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70465982,108553,0,70606077,93481613,370.7355180228029,26.17578125,0.070605
2026-02-24 23:44:28,34,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70325364,108827,0,70466789,93381147,370.61618825123816,26.1162109375,0.070467
2026-02-24 23:44:28,35,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70610229,109829,0,70754065,93448406,367.0960175716931,25.97314453125,0.070753
2026-02-24 23:44:28,36,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70454847,108147,0,70595842,93440384,369.6675357674056,26.0966796875,0.070595
2026-02-24 23:44:29,37,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70795126,107460,0,70934751,93494145,365.68434213494237,25.939453125,0.070934
2026-02-24 23:44:29,38,LJFunctorAVX,false,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70973223,108501,0,71116491,93421595,372.2461365937342,26.47265625,0.071116
