Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns],energyWatts[W],energyJoules[J],energyDeltaT[s]
2026-02-23 11:19:37,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,785163425,120080,658,785317234,92926209,326.79302247572934,256.6341552734375,0.785311
2026-02-23 11:19:38,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78519265,111615,0,78657221,93411596,386.93776484650124,30.43536376953125,0.078657
2026-02-23 11:19:38,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78455364,112570,0,78595693,93295165,385.1322630554584,30.26947021484375,0.078595
2026-02-23 11:19:38,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78479371,112309,0,78619226,93424953,383.54530073424667,30.153564453125,0.078618
2026-02-23 11:19:39,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78632760,110487,0,78774020,93254017,386.3421410657387,30.4337158203125,0.078774
2026-02-23 11:19:39,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78567232,111367,0,78703800,92862597,386.3416896433427,30.40625,0.078703
2026-02-23 11:19:39,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78485446,118559,0,78628787,92931862,385.2353258778679,30.290283203125,0.078628
2026-02-23 11:19:40,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78439113,112382,0,78576938,92798922,384.04237517658066,30.176513671875,0.078576
2026-02-23 11:19:40,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78536880,109981,0,78671221,92716802,384.3965744963137,30.240478515625,0.07867
2026-02-23 11:19:40,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,78572902,110279,0,78708131,92817207,381.2023822333147,30.0032958984375,0.078707
2026-02-23 11:19:41,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71039856,111096,272,71178885,92891376,366.19035749283483,26.064697265625,0.071178
2026-02-23 11:19:41,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71140163,109877,0,71274887,92761994,363.59055758944226,25.9149169921875,0.071275
2026-02-23 11:19:41,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71099130,112019,0,71240234,92836578,368.32886316220754,26.2393798828125,0.071239
2026-02-23 11:19:41,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70926775,110931,0,71062236,92756236,368.4647229800805,26.1834716796875,0.071061
2026-02-23 11:19:42,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,102117316,107299,0,102258133,93454530,340.87935109271245,34.8572998046875,0.102257
2026-02-23 11:19:42,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,70739008,108300,0,70872521,92857646,368.74459578095014,26.1336669921875,0.070872
2026-02-23 11:19:42,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71013009,107212,0,71147396,92786988,369.20667535771514,26.267578125,0.071146
