Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-24 23:39:42,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,742594446,79181007,78859234,79097184,79021433,78857274,79030758,78750341,79208018,79159853,145134751,145134751,10
2026-02-24 23:39:45,19,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,71452615,72042523,71488323,71146510,71681078,71520265,71721699,71291996,71731114,71784983,71177120,71177120,10
2026-02-25 00:07:37,5009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,100002691,98510128,98833610,99012590,98658368,98967183,99528471,99088902,99371086,99425433,98659384,98659384,10
2026-02-25 00:07:40,5019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,99683759,98445467,98004567,98282628,98426805,97853010,98611819,98618904,98113745,98745499,98036084,98036084,10
2026-02-25 00:35:55,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,100090596,98467151,103668916,98647520,98502983,99040448,99100210,98990831,99331507,99726665,98629495,98629495,10
2026-02-25 00:35:58,10019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,99994200,98612776,98897912,98719305,99292233,98735500,98649290,99327446,99197037,99037701,98750918,98750918,10
2026-02-25 01:04:15,15009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,99648669,98650441,98542202,98295963,98970157,98270060,99004932,98960934,98975086,99213590,98407920,98407920,10
2026-02-25 01:04:18,15019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,100352045,99097398,99205489,98516377,98698117,99239187,99080800,99127497,99577192,98987734,98699943,98699943,10
2026-02-25 01:32:37,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,99691870,98056950,98337663,98236994,98588509,98740395,98988957,98822181,99331604,99246391,98220442,98220442,10
2026-02-25 01:32:41,20019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,100383136,98942558,99113198,98745383,99296097,99471886,99083645,99357344,99589845,99102796,98909158,98909158,10
2026-02-25 02:01:03,25009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,99415066,98011841,98323125,98502358,98492001,98760646,98873262,98518350,98439980,98631197,98152163,98152163,10
2026-02-25 02:01:07,25019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,100247379,98539939,99140060,98920069,98618597,98709043,98947647,98533512,99462145,98899979,98704898,98704898,10
2026-02-25 02:29:28,30009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,99127346,97380656,97689311,98018489,97950967,98100435,97975894,98408684,98216594,98413998,97555325,97555325,10
2026-02-25 02:29:32,30019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,98064875,96774863,97043956,96979454,96662533,97269936,97444372,97484338,97327122,97698589,96802767,96802767,10
2026-02-25 02:57:48,35009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,98530674,97941485,97806303,97453252,97706632,97801705,97944951,98168066,98133480,98165848,97560994,97560994,10
2026-02-25 02:57:51,35019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,98520209,96545066,96851404,96623699,96853444,96761401,96784695,97636210,97462901,97575915,96742580,96742580,10
2026-02-25 03:26:04,40009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,99114753,97676648,97561626,97708138,97774808,97930927,98154518,97761745,97967166,98357505,97716938,97716938,10
2026-02-25 03:26:07,40019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,98494872,96380325,96385910,96831369,97059529,97231609,97087406,97051427,97188007,97250661,96591779,96591779,10
2026-02-25 03:54:21,45009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,98991066,97614698,97638181,97505479,97571726,98010249,97685164,98599723,97923466,98257987,97654037,97654037,10
2026-02-25 03:54:25,45019,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,97777349,96587150,96471637,96775385,96755716,96315017,97046676,97066258,96894521,97317091,96461250,96461250,10
2026-02-25 04:22:39,50009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,98560963,97225633,97138581,97818913,97777727,97821988,97669013,97961497,97906113,98125016,97280819,97280819,10
