Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-13 11:20:37,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,238719024658,56477966308,56343688964,56645751953,56552124023,56714843750,56388549804,56575195312,56267822265,56289184570,74512942504,74512942504,10
2026-02-13 11:20:42,19,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,62808837890,62853515625,62862792968,62833984375,62808105468,62876220703,63148925781,63079101562,62916503906,62921386718,62808178710,62808178710,10
2026-02-13 11:20:46,29,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,68284423828,68383056640,68362548828,68250976562,68515869140,68705810546,68654541015,68596679687,68963867187,68404296875,68254321288,68254321288,10
2026-02-13 11:20:52,39,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,86399902343,86560546875,86500000000,86582519531,86520996093,86535644531,86431152343,86501953125,86528320312,86543457031,86428027343,86428027343,10
2026-02-13 11:20:58,49,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,115271972656,115601562500,115267578125,115222167968,115578613281,115610839843,115612304687,115386230468,115649902343,115648925781,115227148436,115227148436,10
2026-02-13 11:21:02,59,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,52712890625,52731445312,52827148437,52941406250,52737304687,52916015625,52758789062,52770507812,52717773437,52799804687,52717285155,52717285155,10
2026-02-13 11:21:06,69,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,49115234375,49069335937,49117187500,49266601562,49214843750,49118164062,49391601562,49349609375,49260742187,49395507812,49073925780,49073925780,10
2026-02-13 11:21:10,79,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,52896484375,52790039062,52719726562,52886718750,52807617187,52758789062,52901367187,52954101562,52876953125,52958007812,52737402343,52737402343,10
2026-02-13 12:38:51,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,74875000000,74500000000,74125000000,74250000000,74250000000,74625000000,74625000000,74750000000,74625000000,74500000000,74200000000,74200000000,10
2026-02-13 12:38:56,10019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,82125000000,81375000000,81625000000,81500000000,81750000000,81875000000,82000000000,81875000000,82000000000,81750000000,81450000000,81450000000,10
2026-02-13 12:39:02,10029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,94000000000,93375000000,93250000000,93500000000,93500000000,93875000000,93625000000,93750000000,93750000000,93625000000,93325000000,93325000000,10
2026-02-13 12:39:08,10039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,108500000000,107875000000,108000000000,107875000000,107750000000,108000000000,108125000000,108000000000,108375000000,108375000000,107825000000,107825000000,10
2026-02-13 12:39:15,10049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,130500000000,130000000000,130125000000,130375000000,130375000000,130375000000,130625000000,130000000000,130375000000,130500000000,130050000000,130050000000,10
2026-02-13 12:39:20,10059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,73250000000,72375000000,72250000000,72625000000,72750000000,73000000000,72750000000,73000000000,73000000000,73000000000,72350000000,72350000000,10
2026-02-13 12:39:24,10069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,68500000000,67625000000,67750000000,67875000000,68000000000,67625000000,68250000000,67875000000,67875000000,68125000000,67712500000,67712500000,10
2026-02-13 12:39:29,10079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,72875000000,72250000000,72125000000,72125000000,72125000000,72375000000,72875000000,72750000000,72750000000,73000000000,72200000000,72200000000,10
2026-02-13 13:57:23,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,74000000000,73500000000,73750000000,73500000000,73500000000,73500000000,73750000000,73750000000,74000000000,74000000000,73550000000,73550000000,10
2026-02-13 13:57:28,20019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,81750000000,81000000000,80750000000,80750000000,81000000000,81250000000,81000000000,81250000000,81250000000,81250000000,80850000000,80850000000,10
2026-02-13 13:57:34,20029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,93500000000,92750000000,92500000000,93000000000,93250000000,93250000000,93000000000,93250000000,94250000000,93500000000,92600000000,92600000000,10
2026-02-13 13:57:39,20039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,107250000000,106750000000,106250000000,106250000000,106750000000,106750000000,106750000000,107000000000,107000000000,106750000000,106350000000,106350000000,10
2026-02-13 13:57:46,20049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,127750000000,127500000000,127500000000,127500000000,127750000000,127750000000,127750000000,127750000000,127500000000,127750000000,127525000000,127525000000,10
2026-02-13 13:57:51,20059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,72500000000,72000000000,71750000000,71500000000,72000000000,72000000000,72000000000,71750000000,71750000000,72250000000,71600000000,71600000000,10
2026-02-13 13:57:56,20069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,67500000000,66750000000,66750000000,66750000000,67000000000,67000000000,67000000000,67000000000,67000000000,66750000000,66825000000,66825000000,10
2026-02-13 13:58:01,20079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,72250000000,71500000000,71750000000,72000000000,72000000000,72000000000,72000000000,72000000000,72000000000,72250000000,71575000000,71575000000,10
