Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-13 11:20:08,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,791706073,174509346,174555458,174593218,174522973,174418614,174547471,174542724,174506186,174496166,236147359,236147359,10
2026-02-13 11:20:13,19,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,194333990,194279047,194316547,194333826,194399283,194401792,194435908,194343730,194554181,194522890,194284541,194284541,10
2026-02-13 11:20:17,29,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,209328682,210108411,210309297,210170932,210422699,210180479,209910843,210496281,210720087,210168104,209852626,209852626,10
2026-02-13 11:20:23,39,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,269741993,269753575,269798784,269804389,269824912,269966056,269762752,269957170,269956021,269992132,269752416,269752416,10
2026-02-13 11:20:29,49,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,364803467,364744122,365111335,365088760,365688017,365715508,366159402,366469082,366009728,366100678,364750056,364750056,10
2026-02-13 11:20:33,59,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,163248744,163560148,163437293,163567008,163288332,163786620,163766394,163722437,163327628,163605705,163284373,163284373,10
2026-02-13 11:20:37,69,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,150054870,150054092,149986003,149866059,150033484,149971883,150066517,150194271,150151647,150093580,149884940,149884940,10
2026-02-13 11:20:41,79,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,163241309,163132284,163101672,163159444,163308646,163339040,163264001,163509151,163329790,163491815,163115635,163115635,10
2026-02-13 12:38:30,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,230725145,228443360,228642557,228852739,229074840,229142642,229330303,229562760,229789222,229861943,228671538,228671538,10
2026-02-13 12:38:35,10019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,253486668,251245576,251398609,251537388,251777575,251986174,252131621,252310416,252500348,252726305,251469685,251469685,10
2026-02-13 12:38:40,10029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,286373383,284446978,284521105,284520980,284792581,285439939,285387838,285418239,285376629,285904214,284639618,284639618,10
2026-02-13 12:38:46,10039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,338786318,336619283,336696103,336900985,337093727,337331923,337449725,337626456,337710948,338039965,336835986,336835986,10
2026-02-13 12:38:53,10049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,413301536,410987673,411398714,411452983,411440064,411926285,411707001,412497890,412351473,412196334,411219059,411219059,10
2026-02-13 12:38:58,10059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,227843042,225908527,225746660,225945639,226143335,226276335,226454757,226814657,226687316,227299131,225956298,225956298,10
2026-02-13 12:39:03,10069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,208623683,206169508,206477851,206630286,206890875,206979253,207343947,207419707,207689141,207922623,206414925,206414925,10
2026-02-13 12:39:08,10079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,227254404,224844424,225105563,225304137,225535021,225858589,225869536,225925013,226232907,226550281,225085422,225085422,10
2026-02-13 13:57:19,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,229357168,227214132,227402902,227581468,227850727,228009089,228202056,228340858,228482973,228669282,227428435,227428435,10
2026-02-13 13:57:24,20019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,252411903,250177979,250359218,250542078,250784282,250910103,251141565,251262357,251444084,251625335,250401371,250401371,10
2026-02-13 13:57:30,20029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,287581588,284988965,285215262,285121482,284694946,285335389,285672835,285629258,286188967,285717694,284983610,284983610,10
2026-02-13 13:57:36,20039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,337049979,334762259,335100210,335239124,335453292,335529111,335720897,335976827,336122984,336433733,334991031,334991031,10
2026-02-13 13:57:42,20049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,410334341,408083996,407928223,408324674,408787251,408906712,409128307,409244817,409283278,409485476,408168834,408168834,10
2026-02-13 13:57:47,20059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,226941855,224629512,224840249,224935184,225114492,225230521,225600427,225607523,225903015,226181742,224860746,224860746,10
2026-02-13 13:57:52,20069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,206703731,204358839,204624428,204870214,204967372,205259863,205330355,205607089,205651334,205790987,204593328,204593328,10
2026-02-13 13:57:57,20079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,226282893,223889621,224100469,224259284,224806474,224949850,224816316,225200601,225488285,225542330,224128948,224128948,10
