Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns],energyWatts[W],energyJoules[J],energyDeltaT[s]
2026-02-13 10:28:33,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,582011554,147458,285,582208685,45691438,346.5985786051553,201.7900390625,0.582201
2026-02-13 10:28:33,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76187836,139816,0,76364673,46378537,395.7917757590291,30.2242431640625,0.076364
2026-02-13 10:28:34,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76300019,133736,0,76466008,46482955,396.2072910672717,30.29638671875,0.076466
2026-02-13 10:28:34,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76686482,161584,0,76883141,45593001,393.7554314160011,30.272705078125,0.076882
2026-02-13 10:28:34,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76400926,155580,0,76591058,45573560,392.9149638991526,30.09375,0.076591
2026-02-13 10:28:34,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76959339,161120,0,77156520,45580827,394.11923243759475,30.4090576171875,0.077157
2026-02-13 10:28:35,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76701705,158705,0,76894852,45574067,395.70577293915403,30.42779541015625,0.076895
2026-02-13 10:28:35,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76936892,159956,0,77132554,45522989,394.6552890864038,30.4405517578125,0.077132
2026-02-13 10:28:35,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76375852,179717,0,76588325,45563321,396.04953258424945,30.3326416015625,0.076588
2026-02-13 10:28:35,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,76406587,149660,0,76588672,45512341,397.69238800203027,30.4588623046875,0.076589
2026-02-13 10:28:36,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,97959398,115255,282,98113076,45796395,396.99850561411955,38.9503173828125,0.098112
2026-02-13 10:28:36,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,90472950,129002,0,90636806,45613421,399.0692875382023,36.1700439453125,0.090636
2026-02-13 10:28:36,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,91289353,127385,0,91451417,45533034,401.24853832243497,36.694580078125,0.091451
2026-02-13 10:28:36,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,90538021,139633,0,90712136,45569589,399.72708441851046,36.2596435546875,0.090711
2026-02-13 10:28:37,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,90940659,150498,0,91123901,45622172,396.6471336305049,36.1436767578125,0.091123
2026-02-13 10:28:37,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,90705815,164343,0,90903407,45524585,397.4204259966668,36.126708984375,0.090903
2026-02-13 10:28:37,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,90704965,173494,0,90912639,45665382,398.14241081004155,36.1959228515625,0.090912
2026-02-13 10:28:38,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,90911568,200987,0,91147473,45537120,398.2301705109603,36.2974853515625,0.091147
2026-02-13 10:28:38,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,91032456,175463,0,91239628,45551710,399.58092582063784,36.457763671875,0.09124
2026-02-13 10:28:38,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,90923874,201362,0,91158772,45607769,394.77944544088285,35.9873046875,0.091158
2026-02-13 10:28:38,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,114471474,115197,330,114621204,45651476,397.8038901030352,45.5966796875,0.114621
2026-02-13 10:28:39,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,108454021,155079,0,108640880,45596432,400.91818322502553,43.55615234375,0.108641
2026-02-13 10:28:39,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,108575456,166779,0,108775470,45506046,399.6499547517812,43.471923828125,0.108775
2026-02-13 10:28:39,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,108961227,187631,0,109180842,45545288,399.525608565135,43.62060546875,0.109181
2026-02-13 10:28:40,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,108841247,229282,0,109105509,45629797,400.80047227581434,43.729736328125,0.109106
2026-02-13 10:28:40,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,108637487,284699,0,108956670,45611862,401.23797823203864,43.71728515625,0.108956
2026-02-13 10:28:40,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,108658605,250327,0,108941964,45482880,401.72653869145967,43.764892578125,0.108942
2026-02-13 10:28:40,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,108902156,306387,0,109242397,45551705,399.06338607747017,43.594482421875,0.109242
