Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-13 10:38:08,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,392081848144,43822570800,43914367675,44064941406,43992553710,44199340820,44090454101,43983398437,44017578125,44097045898,78648498534,78648498534,10
2026-02-13 10:38:12,19,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,54385986328,53796875000,53928710937,54064208984,53885009765,54353759765,53928955078,53975830078,54380859375,54304199218,53855786132,53855786132,10
2026-02-13 10:38:17,29,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,74796142578,68095703125,68194824218,68110107421,68207519531,68374023437,68191406250,67937500000,68246582031,68339843750,68623364257,68623364257,10
2026-02-13 10:38:23,39,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,86453125000,83160644531,83128417968,83060546875,83269531250,83434082031,83546875000,83257812500,83526367187,83410156250,83399804687,83399804687,10
2026-02-13 10:38:29,49,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,104169921875,101097167968,101323730468,100820800781,101428710937,101079101562,101632812500,101310546875,101587890625,101486328125,101155712890,101155712890,10
2026-02-13 10:38:33,59,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,45290039062,41210937500,41142578125,41309570312,41194335937,41188476562,41306640625,41048828125,41525390625,41350585937,41472949218,41472949218,10
2026-02-13 10:38:37,69,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,42157226562,37946289062,37754882812,37631835937,37667968750,37617187500,37373046875,37598632812,37523437500,37433593750,37851464843,37851464843,10
2026-02-13 10:38:42,79,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,46028320312,43167968750,43234375000,43068359375,43262695312,42791992187,42816406250,43171875000,42994140625,43161132812,43115624999,43115624999,10
2026-02-13 11:50:16,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,46750000000,46250000000,46125000000,46125000000,46125000000,46500000000,46250000000,46375000000,46250000000,46375000000,46187500000,46187500000,10
2026-02-13 11:50:20,10019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,57375000000,56875000000,56750000000,56750000000,56625000000,57000000000,56625000000,56500000000,56875000000,57125000000,56587500000,56587500000,10
2026-02-13 11:50:25,10029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,70250000000,69875000000,70250000000,70000000000,69875000000,69625000000,69875000000,69875000000,70000000000,70250000000,69687500000,69687500000,10
2026-02-13 11:50:31,10039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,84375000000,84125000000,83250000000,83500000000,83250000000,83125000000,83000000000,83375000000,83625000000,83375000000,83137500000,83137500000,10
2026-02-13 11:50:37,10049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,94500000000,94125000000,94125000000,94250000000,94125000000,94000000000,93750000000,94000000000,93875000000,94500000000,93825000000,93825000000,10
2026-02-13 11:50:41,10059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,43500000000,43500000000,43375000000,43125000000,43125000000,43375000000,43250000000,43500000000,43625000000,43250000000,43162500000,43162500000,10
2026-02-13 11:50:46,10069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,39750000000,39000000000,39125000000,39250000000,39250000000,39375000000,39125000000,39125000000,39000000000,39000000000,39075000000,39075000000,10
2026-02-13 11:50:50,10079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,44375000000,43625000000,44125000000,44125000000,44000000000,44375000000,44000000000,44375000000,44375000000,44375000000,43700000000,43700000000,10
2026-02-13 13:02:27,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,46500000000,46250000000,46500000000,46000000000,46000000000,46500000000,46250000000,46250000000,46500000000,46750000000,46050000000,46050000000,10
2026-02-13 13:02:32,20019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,57250000000,57000000000,57000000000,56750000000,57000000000,56750000000,56750000000,56750000000,56750000000,56500000000,56575000000,56575000000,10
2026-02-13 13:02:37,20029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,70000000000,69500000000,69500000000,69250000000,69750000000,69500000000,69250000000,69500000000,69500000000,70000000000,69325000000,69325000000,10
2026-02-13 13:02:42,20039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,83500000000,83250000000,82750000000,83000000000,83500000000,83000000000,83250000000,83000000000,83250000000,83750000000,82825000000,82825000000,10
2026-02-13 13:02:48,20049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,94500000000,93750000000,93250000000,93250000000,93250000000,93250000000,93500000000,93750000000,93500000000,94000000000,93375000000,93375000000,10
2026-02-13 13:02:52,20059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,43500000000,43000000000,43000000000,43500000000,43500000000,43250000000,43000000000,43000000000,43250000000,43250000000,43050000000,43050000000,10
2026-02-13 13:02:57,20069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,39500000000,38750000000,38750000000,38750000000,38750000000,38750000000,38750000000,38750000000,38750000000,38750000000,38825000000,38825000000,10
2026-02-13 13:03:01,20079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,44250000000,44000000000,44000000000,43750000000,43750000000,44000000000,43750000000,44000000000,44500000000,44000000000,43800000000,43800000000,10
