Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-13 10:35:06,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,724007738,78673565,78520202,78549004,78775202,78797008,78608211,78591571,78638470,78608911,143068955,143068955,10
2026-02-13 10:35:09,19,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,93232511,93274671,93251401,93244662,93265078,93215453,93274696,93271641,93272629,93404071,93217158,93217158,10
2026-02-13 10:35:13,29,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,113495450,113542059,113587093,113464641,113583708,113426868,113461878,113498212,113489138,113557332,113433726,113433726,10
2026-02-13 10:35:17,39,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,143337395,143305402,143317920,143281267,143402919,143397190,143412825,143400642,143443471,143312256,143286879,143286879,10
2026-02-13 10:35:21,49,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,194502012,194795403,194762941,195013243,194941222,195148342,195313931,195441119,195514761,195606416,194736848,194736848,10
2026-02-13 10:35:24,59,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,84622267,84486896,85052734,84222017,85121595,84694085,84730809,85102949,85016785,84780091,84262042,84262042,10
2026-02-13 10:35:27,69,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,72099509,71814337,71845100,72134206,72172513,72562091,71957000,72163414,72053189,72182737,71842854,71842854,10
2026-02-13 10:35:30,79,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,84555110,84705986,84544332,84946260,84841248,84667782,85188283,84978828,84838336,84955670,84545409,84545409,10
2026-02-13 11:31:24,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,99419004,98424324,98149384,98385557,98448615,98562443,98477395,98684716,98893248,99040354,98276346,98276346,10
2026-02-13 11:31:27,10019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,115892351,114847221,114892069,114918814,114782285,114882661,114948742,115263937,115351650,115292943,114893291,114893291,10
2026-02-13 11:31:31,10029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,143959483,142544425,142794195,142873474,142875140,142972651,143128612,143110140,143274664,143325253,142685930,142685930,10
2026-02-13 11:31:35,10039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,170937256,169554237,169648213,169700928,169794884,169899641,169967928,170018826,170130313,170240986,169692538,169692538,10
2026-02-13 11:31:40,10049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,202295738,200947867,201064849,201106924,201180393,201214468,201461846,201418019,201555107,201642463,201082654,201082654,10
2026-02-13 11:31:43,10059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,120948318,119182449,119208319,119654931,119460574,119312333,120049912,119514088,119825782,120090729,119359035,119359035,10
2026-02-13 11:31:47,10069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,99822874,98735152,98979193,99401540,98981197,99156958,99296474,99554738,99553425,98917069,98843924,98843924,10
2026-02-13 11:31:50,10079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,120380029,119149140,119427680,119347877,118720274,119296001,119517400,119579443,119493203,120213169,118886249,118886249,10
2026-02-13 12:28:21,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,99311049,97920838,98093454,98290883,98455256,98419094,98339307,98747923,98484366,98903154,98059859,98059859,10
2026-02-13 12:28:24,20019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,115934064,114797055,114632987,114860268,114917388,115116014,114970936,115299433,115366684,115552803,114763094,114763094,10
2026-02-13 12:28:28,20029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,144168060,142772779,142908273,142993297,143025459,143106483,143192124,143424848,143364659,143565066,142912307,142912307,10
2026-02-13 12:28:32,20039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,170725737,169369906,169392885,169470716,169584241,169611044,169852866,169830113,169912388,169986677,169505489,169505489,10
2026-02-13 12:28:37,20049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,201457670,200007443,200113628,200305832,200357125,200393721,200530983,200591242,200692349,200865368,200152465,200152465,10
2026-02-13 12:28:40,20059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,120579668,119282524,119986900,119231531,119283042,119860918,119169408,119716531,119753937,120111190,119310434,119310434,10
2026-02-13 12:28:44,20069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,100140652,99133250,98908546,99028407,99284427,99293421,99535737,99817941,99574291,99300741,99031756,99031756,10
2026-02-13 12:28:47,20079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,120910074,119198017,119288597,119320877,119596046,119558987,119719818,120022357,120080293,119973108,119369222,119369222,10
