Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-13 11:02:58,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2010604003906,239895507812,239241699218,239103027343,239171386718,239507324218,239214843750,239072265625,239401367187,239439453125,416225439453,416225439453,10
2026-02-13 11:03:22,19,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,285379882812,285625976562,284919921875,285173828125,285206054687,285335937500,285154296875,285072265625,286849609375,285148437500,284965917968,284965917968,10
2026-02-13 11:03:46,29,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,351101562500,348164062500,347662109375,347646484375,347931640625,348162109375,348771484375,347835937500,348449218750,348460937500,347991992187,347991992187,10
2026-02-13 11:04:14,39,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,438742187500,437738281250,438816406250,436289062500,438390625000,439015625000,435849609375,436464843750,438898437500,435625000000,435936718750,435936718750,10
2026-02-13 11:04:46,49,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,591472656250,593113281250,592839843750,589835937500,591261718750,592667968750,595101562500,592617187500,592492187500,596472656250,589999609375,589999609375,10
2026-02-13 11:05:08,59,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,247113281250,248246093750,245511718750,246285156250,245128906250,245804687500,246777343750,246144531250,245550781250,246027343750,245327343750,245327343750,10
2026-02-13 11:05:30,69,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,210390625000,209601562500,209886718750,209703125000,209613281250,209035156250,209777343750,210167968750,210031250000,209753906250,209170703125,209170703125,10
2026-02-13 11:05:52,79,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,245781250000,246289062500,245398437500,245941406250,245636718750,245390625000,245324218750,245105468750,245000000000,245179687500,245078125000,245078125000,10
2026-02-13 17:37:49,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,305500000000,302000000000,301500000000,302000000000,302000000000,302500000000,302500000000,303000000000,303000000000,304000000000,301900000000,301900000000,10
2026-02-13 17:38:14,10019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,361000000000,356500000000,357000000000,357500000000,357000000000,357500000000,358000000000,358000000000,357500000000,358500000000,356950000000,356950000000,10
2026-02-13 17:38:42,10029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,447000000000,443000000000,442500000000,443500000000,443500000000,444000000000,443000000000,443500000000,444000000000,443500000000,442950000000,442950000000,10
2026-02-13 17:39:11,10039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,531000000000,529000000000,526000000000,526500000000,527500000000,526000000000,527500000000,528000000000,526500000000,528000000000,526500000000,526500000000,10
2026-02-13 17:39:44,10049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,617500000000,612000000000,615500000000,615000000000,616500000000,612000000000,613500000000,617000000000,615000000000,616500000000,612550000000,612550000000,10
2026-02-13 17:40:09,10059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,334500000000,331500000000,333000000000,331500000000,331000000000,332500000000,332000000000,333000000000,333500000000,333000000000,331350000000,331350000000,10
2026-02-13 17:40:33,10069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,289500000000,286500000000,287500000000,287000000000,286500000000,287500000000,287000000000,287500000000,287000000000,288500000000,286800000000,286800000000,10
2026-02-13 17:40:58,10079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,336500000000,332000000000,333500000000,332500000000,333000000000,334000000000,333500000000,333500000000,332000000000,334000000000,332450000000,332450000000,10
2026-02-14 00:14:58,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,303000000000,300000000000,299000000000,299000000000,301000000000,301000000000,301000000000,301000000000,301000000000,300000000000,299400000000,299400000000,10
2026-02-14 00:15:24,20019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,359000000000,354000000000,356000000000,356000000000,357000000000,355000000000,356000000000,355000000000,355000000000,355000000000,354500000000,354500000000,10
2026-02-14 00:15:51,20029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,446000000000,442000000000,443000000000,443000000000,443000000000,444000000000,442000000000,443000000000,444000000000,443000000000,442400000000,442400000000,10
2026-02-14 00:16:21,20039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,528000000000,522000000000,525000000000,523000000000,523000000000,526000000000,524000000000,525000000000,523000000000,526000000000,522600000000,522600000000,10
2026-02-14 00:16:53,20049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,615000000000,611000000000,608000000000,608000000000,612000000000,610000000000,611000000000,612000000000,610000000000,612000000000,608700000000,608700000000,10
2026-02-14 00:17:19,20059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,333000000000,329000000000,328000000000,329000000000,327000000000,329000000000,329000000000,330000000000,330000000000,330000000000,327600000000,327600000000,10
2026-02-14 00:17:42,20069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,290000000000,285000000000,285000000000,286000000000,285000000000,286000000000,287000000000,286000000000,286000000000,287000000000,285500000000,285500000000,10
2026-02-14 00:18:08,20079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,336000000000,333000000000,331000000000,331000000000,347000000000,331000000000,331000000000,333000000000,333000000000,331000000000,331500000000,331500000000,10
