Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns],energyWatts[W],energyJoules[J],energyDeltaT[s]
2026-02-13 11:06:19,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,5941686878,120745,280,5941843817,741268393,333.3296977220054,1980.591064453125,5.941838
2026-02-13 11:06:22,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618684748,115486,0,618833791,735927333,385.80920029111246,238.75146484375,0.618833
2026-02-13 11:06:24,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618462267,116864,0,618613671,735279586,386.09953461412874,238.84619140625,0.618613
2026-02-13 11:06:26,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618675716,116167,0,618823955,734994432,385.7886072128056,238.73486328125,0.618823
2026-02-13 11:06:29,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618534994,118863,0,618688795,735367605,385.96101502051926,238.7890625,0.618687
2026-02-13 11:06:31,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618323843,116351,0,618472662,735052987,386.0342304853421,238.7509765625,0.618471
2026-02-13 11:06:33,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618485463,119918,0,618636065,735521106,386.17279082529956,238.900390625,0.618636
2026-02-13 11:06:35,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618570499,116777,0,618719648,735596518,386.3182817038106,239.0224609375,0.618719
2026-02-13 11:06:37,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,619258977,116809,0,619409596,735423909,385.8346242206243,238.98828125,0.619406
2026-02-13 11:06:40,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,618191993,118987,0,618341228,735829979,385.2720298144551,238.2294921875,0.618341
2026-02-13 11:06:42,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,737774592,116630,378,737923896,735332304,386.72284722071646,285.3720703125,0.737924
2026-02-13 11:06:45,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,737569321,118172,0,737719267,735035496,386.29735972959855,284.978515625,0.737718
2026-02-13 11:06:47,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,737665514,115803,0,737814273,735184453,386.32571235868704,285.0361328125,0.737813
2026-02-13 11:06:49,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,737782592,118223,0,737933428,735113054,386.48389318542473,285.19921875,0.737933
2026-02-13 11:06:52,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,737858992,119403,0,738011641,735490748,387.76098865735065,286.171875,0.738011
2026-02-13 11:06:54,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,737762316,119304,0,737912259,735417095,386.28366937205163,285.04296875,0.737911
