Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-13 10:51:56,9,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,96715536,9972640,9991827,9978448,9995409,9970513,9957335,9973695,9971899,9962090,18633155,18633155,10
2026-02-13 10:51:56,19,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,11821626,11777415,11811777,11812759,11791391,11796349,11780716,11809442,11802402,11815825,11781836,11781836,10
2026-02-13 10:51:57,29,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,13905202,13891893,13859844,13858785,13870681,13871830,13881140,13877834,13860394,13856130,13861037,13861037,10
2026-02-13 10:51:57,39,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,16584535,16519630,16520505,16557790,16572231,16553741,16569729,16531439,16552629,16544999,16526120,16526120,10
2026-02-13 10:51:58,49,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,19251886,19201054,19207405,19232838,19215130,19285671,19238547,19262634,19264673,19287792,19206137,19206137,10
2026-02-13 10:51:58,59,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,10763738,11312221,10783209,11217285,10756476,11230718,11304770,10731813,11303518,11317413,10735005,10735005,10
2026-02-13 10:51:59,69,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,11358828,11348229,11317048,11315063,11328771,11360810,11359986,11354438,11362400,11337218,11319439,11319439,10
2026-02-13 10:51:59,79,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,11325521,11109471,11265154,11157544,11087196,11146341,11257705,11248009,10872981,11297108,10918235,10918235,10
2026-02-13 11:00:23,10009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,12781274,12618922,12589282,12659300,12683987,12695371,12713394,12676825,12727004,12745279,12608481,12608481,10
2026-02-13 11:00:23,10019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,14819332,14665491,14697277,14688817,14710300,14713933,14725018,14776017,14773987,14791149,14680875,14680875,10
2026-02-13 11:00:24,10029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,17988320,17827769,17836977,17848470,17861232,17889532,17888633,17949132,17962995,17999646,17843824,17843824,10
2026-02-13 11:00:24,10039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,20174550,19946231,19996282,20011650,20044320,20078579,20065771,20087347,20090941,20100822,19969062,19969062,10
2026-02-13 11:00:25,10049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,20222672,20023996,20035683,20148409,20160021,20092133,20095751,20265694,20154044,20211040,20043863,20043863,10
2026-02-13 11:00:25,10059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,14784481,14690159,14761929,14818342,14743423,14790025,14804136,14861733,14813911,14827847,14699591,14699591,10
2026-02-13 11:00:26,10069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,14799957,14666641,14693104,14720116,14769753,14776593,14784928,14771410,14806094,14814779,14679972,14679972,10
2026-02-13 11:00:26,10079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,14914641,14842265,14774492,14826432,14766845,14787115,14858175,14908842,14937509,14956059,14781624,14781624,10
2026-02-13 11:08:37,20009,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,12710472,12534740,12610763,12572837,12600512,12695966,12644933,12679531,12682425,12696114,12552313,12552313,10
2026-02-13 11:08:37,20019,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,14861675,14701366,14734877,14762202,14764873,14775127,14789476,14825316,14833167,14841660,14717396,14717396,10
2026-02-13 11:08:38,20029,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,18075965,17912761,17921698,17902815,17937382,17942240,17977284,17950161,18014234,18015326,17920130,17920130,10
2026-02-13 11:08:39,20039,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,20280252,20102679,20092094,20128029,20101141,20166378,20159184,20163998,20176701,20217172,20110909,20110909,10
2026-02-13 11:08:39,20049,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,19884286,19688308,19689857,19696775,19693219,19720014,19770785,19810283,19817515,19818676,19707905,19707905,10
2026-02-13 11:08:40,20059,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,14708569,14704951,14552053,14620876,14632365,14609028,14625010,14658760,14696208,14695289,14567704,14567704,10
2026-02-13 11:08:40,20069,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,14695742,14587340,14622805,14623859,14660645,14675687,14668719,14677589,14733720,14670250,14598180,14598180,10
2026-02-13 11:08:41,20079,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,14769899,14617298,14573968,14674727,14626068,14677031,14728323,14722345,14740821,14748938,14593561,14593561,10
