Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-09-30 22:10:18,1130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,751368634,6662878416
2025-09-30 22:10:18,1130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,93831,6662878416
2025-09-30 22:16:46,6130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,976457890,5445312499
2025-09-30 22:16:46,6130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,35753,5445312499
2025-09-30 22:23:15,11130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,844477809,5087499999
2025-09-30 22:23:15,11130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,117576,5087499999
2025-09-30 22:29:50,16130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,978053698,5093749999
2025-09-30 22:29:50,16130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,81321,5093749999
2025-09-30 22:36:26,21130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,977248445,5053124999
2025-09-30 22:36:26,21130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,45265,5053124999
2025-09-30 22:42:57,26130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,962598813,5231249999
2025-09-30 22:42:57,26130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,112987,5231249999
2025-09-30 22:49:26,31130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,952723049,5262499999
2025-09-30 22:49:26,31130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,97313,5262499999
2025-09-30 22:55:53,36130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,956912406,5143749999
2025-09-30 22:55:53,36130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,22181,5143749999
2025-09-30 23:02:19,41130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,952861952,5112500000
2025-09-30 23:02:19,41130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,17406,5112500000
2025-09-30 23:08:44,46130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,951366001,5174999999
2025-09-30 23:08:44,46130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,37660,5174999999
2025-09-30 23:15:07,51130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,951550771,5212499999
2025-09-30 23:15:07,51130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,140114,5212499999
2025-09-30 23:21:32,56130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,942811908,5049999999
2025-09-30 23:21:32,56130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,52406,5049999999
2025-09-30 23:27:57,61130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,940816588,5362499999
2025-09-30 23:27:57,61130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,27599,5362499999
2025-09-30 23:34:23,66130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,944280531,5425000000
2025-09-30 23:34:23,66130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,45215,5425000000
2025-09-30 23:40:49,71130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,950753652,5374999999
2025-09-30 23:40:49,71130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,28375,5374999999
2025-09-30 23:47:13,76130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,945784801,5224999999
2025-09-30 23:47:13,76130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,30069,5224999999
2025-09-30 23:53:42,81130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,942561346,5062499999
2025-09-30 23:53:42,81130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,28293,5062499999
