Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-30 22:06:36,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,54523557,53907109,54085847,54045812,54131103,54198080,54086554,53934700,54107367,54181956,54120208,54120208,10
2025-09-30 22:06:37,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,57861064,45648439,44450874,44556221,44568886,44399493,44433324,44465679,44485796,44457579,45932734,45932734,10
2025-09-30 22:06:37,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,24825849,24856221,24122067,24180469,23801384,23829103,24228120,24035264,23961185,24028912,24186857,24186857,10
2025-09-30 22:06:37,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,21927938,22329847,22295760,22372160,22124045,22248175,22209256,22216856,22385542,22243750,22235332,22235332,10
2025-09-30 22:06:37,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,16528336,16911709,16723219,16610113,16843032,16602643,16904906,16693033,16645689,16810335,16727300,16727300,10
2025-09-30 22:06:37,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,25121253,25279483,25579197,25661443,25360646,25428355,25413084,25241510,25439902,25267629,25379249,25379249,10
2025-09-30 22:06:38,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,21794696,21967141,22191941,21616229,22133676,21922858,21626588,21962502,21850796,21931177,21899760,21899760,10
2025-09-30 22:06:38,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,23220426,23267975,23264734,23447330,23260888,23288276,23358644,23238134,23416799,23440991,23320419,23320419,10
2025-09-30 22:06:38,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,18388856,18578193,18441878,18645433,19228360,19224918,19206739,19182323,19219468,19173799,18928996,18928996,10
2025-09-30 22:06:38,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,28919004,28944934,28980154,28962640,28980245,29018527,29039868,29025477,29007054,28996098,28987399,28987399,10
2025-09-30 22:06:39,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,24568624,24655014,24639943,24615479,24669482,24662814,24624832,24631283,24639237,24621579,24632828,24632828,10
2025-09-30 22:06:39,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,28331082,28921448,29163910,28829696,28883969,29282422,28748601,29581113,28259149,29562123,28956350,28956350,10
2025-09-30 22:06:39,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,26754119,26630296,26736087,26316305,26891556,26879302,26683690,26777379,27484674,27484853,26863825,26863825,10
2025-09-30 22:06:40,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,46484988,46131360,46191132,46234335,46223498,46229852,46058993,46299431,46177317,46241768,46227266,46227266,10
2025-09-30 22:06:40,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,42011367,42082056,42057472,41985555,42051384,42004826,42019163,42015587,42061449,42045479,42033433,42033433,10
2025-09-30 22:06:41,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,48199553,48267180,48263511,48334303,48329842,48204196,48217118,48297452,48371667,48271900,48275671,48275671,10
2025-09-30 22:06:41,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,44339612,44330319,44296660,44311729,44428992,44424695,44428416,44331262,44387556,44299992,44357922,44357922,10
2025-09-30 22:06:42,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,42410128,42225039,42410560,42332401,42322419,42437620,42371485,42457142,42367642,42511635,42384606,42384606,10
2025-09-30 22:06:42,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,38962460,38862375,38866638,38847502,38925461,38865005,38935312,38872742,38854115,38907668,38889927,38889927,10
2025-09-30 22:06:43,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,45196396,45373447,45308684,45201047,45206392,45344724,45220905,45284932,45329455,45297692,45276367,45276367,10
