Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-22 12:21:03,9,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,23932790,4542222,4520747,4535749,4543648,4572101,4568973,4564275,4587808,4601137,6496944,6496944,10
2026-02-22 12:29:23,10009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4324040,4301932,4273451,4273439,4291274,4291076,4281190,4294624,4295112,4289912,4291604,4291604,10
2026-02-22 12:37:31,20009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2149278,2124749,2123742,2118046,2132682,2101308,2110866,2143206,2116782,2109631,2123028,2123028,10
2026-02-22 12:45:20,30009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1274304,1246250,1234133,1230463,1223186,1221777,1234796,1232115,1236168,1237241,1237043,1237043,10
2026-02-22 12:53:07,40009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1244011,1215915,1221917,1205663,1207154,1202461,1205044,1201990,1199804,1203582,1210753,1210753,10
2026-02-22 13:00:53,50009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1242323,1208453,1192466,1197717,1201991,1197181,1197275,1191118,1197028,1195399,1202094,1202094,10
2026-02-22 13:08:39,60009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1234693,1201307,1187204,1185188,1189913,1191880,1190394,1193321,1180799,1191673,1194636,1194636,10
2026-02-22 13:16:25,70009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1229747,1193532,1191341,1188483,1181772,1184831,1189476,1186182,1179324,1184439,1190912,1190912,10
2026-02-22 13:24:12,80009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1218738,1186960,1180218,1179768,1183492,1184540,1189196,1180288,1181087,1184387,1186867,1186867,10
2026-02-22 13:31:58,90009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1224003,1186181,1182632,1188486,1180941,1178114,1180150,1182694,1187484,1175832,1186651,1186651,10
2026-02-22 13:39:45,100009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1229758,1206808,1184997,1190606,1187860,1188505,1183297,1185002,1200309,1196877,1195401,1195401,10
2026-02-22 13:47:31,110009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1222365,1189598,1180465,1190587,1180341,1181176,1183726,1184865,1184425,1178979,1187652,1187652,10
2026-02-22 13:55:18,120009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1229546,1205451,1187571,1183746,1182234,1183573,1190778,1182065,1189176,1185850,1191998,1191998,10
2026-02-22 14:03:05,130009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1230220,1202322,1191624,1194289,1188480,1184776,1195289,1182935,1186721,1195853,1195250,1195250,10
2026-02-22 14:10:52,140009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1229592,1210788,1189207,1193232,1196757,1195455,1193508,1194379,1186485,1190818,1198021,1198021,10
