Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-11-17 13:30:10,9,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,2342950820,1996635437,1998287200,1980892181,1977958679,2141471862,2121269226,1988220214,2162834167,2207023620,2091754340,2091754340,10
2025-11-17 13:30:11,19,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1381835937,1446838378,1339294433,1437438964,1368530273,1436637878,1442863464,1522331237,1482955932,1340209960,1419893644,1419893644,10
2025-11-17 13:30:11,29,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5989349365,281005859,126159667,0,72998046,175476074,294921875,103942871,118225097,192077636,735415648,735415648,10
2025-11-17 13:32:35,10009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,2050781250,1816406250,1941406250,1941406250,2019531250,1843750000,1851562500,1832031250,1941406250,2031250000,1926953124,1926953124,10
2025-11-17 13:32:35,10019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1503906250,1539062500,1468750000,1269531250,1480468750,1386718750,1437500000,1371093750,1390625000,1296875000,1414453124,1414453124,10
2025-11-17 13:32:36,10029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5968750000,140625000,0,351562500,281250000,117187500,117187500,195312500,281250000,0,745312499,745312499,10
2025-11-17 13:34:59,20009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,1062500000,1039062500,718750000,984375000,875000000,875000000,789062500,859375000,1007812500,703125000,891406249,891406249,10
2025-11-17 13:35:00,20019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,695312500,750000000,609375000,609375000,726562500,687500000,406250000,625000000,484375000,695312500,628906249,628906249,10
2025-11-17 13:35:00,20029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5812500000,0,0,117187500,117187500,0,320312500,132812500,140625000,203125000,684374999,684374999,10
2025-11-17 13:37:13,30009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,375000000,375000000,234375000,164062500,453125000,203125000,289062500,375000000,304687500,328125000,310156249,310156249,10
2025-11-17 13:37:13,30019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,304687500,351562500,343750000,390625000,296875000,109375000,117187500,335937500,320312500,390625000,296093749,296093749,10
2025-11-17 13:37:13,30029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6093750000,156250000,0,187500000,179687500,117187500,195312500,0,257812500,0,718749999,718749999,10
2025-11-17 13:39:22,40009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,468750000,218750000,390625000,281250000,125000000,312500000,140625000,328125000,171875000,390625000,282812499,282812499,10
2025-11-17 13:39:22,40019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,234375000,218750000,265625000,328125000,125000000,359375000,312500000,375000000,125000000,375000000,271874999,271874999,10
2025-11-17 13:39:22,40029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6406250000,250000000,93750000,296875000,203125000,296875000,109375000,140625000,328125000,93750000,821874999,821874999,10
2025-11-17 13:41:31,50009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,296875000,125000000,140625000,109375000,125000000,234375000,218750000,265625000,250000000,328125000,209374999,209374999,10
2025-11-17 13:41:31,50019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,125000000,93750000,312500000,468750000,312500000,359375000,359375000,281250000,125000000,328125000,276562499,276562499,10
2025-11-17 13:41:32,50029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6234375000,140625000,109375000,171875000,328125000,109375000,156250000,343750000,0,125000000,771874999,771874999,10
2025-11-17 13:43:41,60009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,187500000,140625000,140625000,203125000,234375000,359375000,218750000,328125000,328125000,140625000,228124999,228124999,10
2025-11-17 13:43:41,60019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,125000000,187500000,500000000,265625000,203125000,390625000,375000000,328125000,171875000,437500000,298437499,298437499,10
2025-11-17 13:43:41,60029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5921875000,109375000,140625000,0,109375000,171875000,109375000,250000000,109375000,0,692187499,692187499,10
2025-11-17 13:45:50,70009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,312500000,343750000,375000000,250000000,281250000,250000000,281250000,312500000,125000000,125000000,265624999,265624999,10
2025-11-17 13:45:50,70019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,281250000,187500000,343750000,312500000,281250000,187500000,125000000,281250000,343750000,343750000,268749999,268749999,10
2025-11-17 13:45:50,70029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5937500000,281250000,125000000,187500000,0,125000000,281250000,62500000,125000000,156250000,728124999,728124999,10
