Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-22 12:11:08,9,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,2287714004,2086662292,2120967864,2019157409,2016227722,2120536804,1984672546,1986328125,2035400390,2005859375,2066352652,2066352652,10
2026-02-22 12:11:08,19,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1502380371,1343872070,1351501464,1597656250,1607055664,1324203491,1637512207,1509643554,1318298339,1646789550,1483891295,1483891295,10
2026-02-22 12:11:09,29,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6040893554,140930175,303955078,336853027,0,263244628,0,260864257,282897949,242980957,787261962,787261962,10
2026-02-22 12:19:13,10009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,2234375000,1703125000,1843750000,1750000000,2078125000,1687500000,1984375000,1921875000,1796875000,2078125000,1907812499,1907812499,10
2026-02-22 12:19:13,10019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1421875000,1296875000,1406250000,1406250000,1500000000,1531250000,1406250000,1406250000,1343750000,1359375000,1407812500,1407812500,10
2026-02-22 12:19:14,10029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5921875000,265625000,0,265625000,296875000,0,328125000,125000000,312500000,281250000,779687499,779687499,10
2026-02-22 12:27:18,20009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,1250000000,968750000,750000000,781250000,968750000,875000000,781250000,968750000,875000000,875000000,909374999,909374999,10
2026-02-22 12:27:19,20019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,781250000,718750000,812500000,875000000,937500000,906250000,656250000,625000000,656250000,718750000,768749999,768749999,10
2026-02-22 12:27:19,20029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6093750000,0,312500000,0,250000000,0,312500000,0,156250000,187500000,731249999,731249999,10
2026-02-22 12:35:24,30009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,593750000,312500000,312500000,312500000,406250000,500000000,687500000,500000000,468750000,687500000,478124999,478124999,10
2026-02-22 12:35:24,30019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,468750000,625000000,468750000,250000000,468750000,437500000,375000000,437500000,468750000,375000000,437499999,437499999,10
2026-02-22 12:35:25,30029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5906250000,156250000,0,0,0,0,187500000,406250000,281250000,250000000,718749999,718749999,10
2026-02-22 12:43:11,40009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,312500000,312500000,312500000,312500000,312500000,312500000,250000000,375000000,375000000,312500000,318749999,318749999,10
2026-02-22 12:43:12,40019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,375000000,312500000,250000000,437500000,250000000,250000000,312500000,625000000,312500000,375000000,349999999,349999999,10
2026-02-22 12:43:12,40029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6375000000,250000000,187500000,125000000,0,0,312500000,250000000,250000000,0,774999999,774999999,10
2026-02-22 12:50:59,50009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,437500000,500000000,375000000,375000000,500000000,250000000,687500000,250000000,500000000,312500000,418749999,418749999,10
2026-02-22 12:50:59,50019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,312500000,312500000,312500000,562500000,375000000,375000000,312500000,250000000,500000000,250000000,356249999,356249999,10
2026-02-22 12:51:00,50029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6312500000,250000000,312500000,0,0,187500000,125000000,187500000,0,125000000,749999999,749999999,10
2026-02-22 12:58:46,60009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,500000000,312500000,250000000,375000000,437500000,312500000,375000000,312500000,437500000,312500000,362499999,362499999,10
2026-02-22 12:58:46,60019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,312500000,312500000,312500000,562500000,250000000,375000000,250000000,437500000,375000000,375000000,356249999,356249999,10
2026-02-22 12:58:47,60029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6000000000,312500000,312500000,0,125000000,312500000,312500000,250000000,312500000,250000000,818749999,818749999,10
2026-02-22 13:06:33,70009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,312500000,500000000,312500000,312500000,500000000,375000000,375000000,625000000,312500000,250000000,387499999,387499999,10
2026-02-22 13:06:34,70019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,312500000,312500000,375000000,562500000,312500000,312500000,437500000,312500000,375000000,312500000,362499999,362499999,10
2026-02-22 13:06:34,70029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6062500000,312500000,312500000,250000000,250000000,125000000,187500000,0,0,375000000,787499999,787499999,10
2026-02-22 13:14:20,80009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,375000000,625000000,250000000,250000000,250000000,250000000,375000000,375000000,250000000,250000000,324999999,324999999,10
2026-02-22 13:14:21,80019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,375000000,375000000,250000000,500000000,250000000,625000000,250000000,250000000,250000000,250000000,337499999,337499999,10
2026-02-22 13:14:21,80029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6000000000,250000000,375000000,250000000,125000000,0,0,125000000,375000000,375000000,787499999,787499999,10
2026-02-22 13:22:08,90009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,250000000,375000000,250000000,250000000,625000000,375000000,375000000,500000000,250000000,250000000,349999999,349999999,10
2026-02-22 13:22:08,90019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,625000000,375000000,375000000,625000000,125000000,125000000,625000000,250000000,375000000,375000000,387499999,387499999,10
2026-02-22 13:22:09,90029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6000000000,0,250000000,375000000,250000000,250000000,125000000,0,0,0,724999999,724999999,10
2026-02-22 13:29:56,100009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,375000000,375000000,375000000,500000000,500000000,250000000,250000000,500000000,375000000,375000000,387499999,387499999,10
2026-02-22 13:29:56,100019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,500000000,250000000,250000000,125000000,250000000,250000000,375000000,250000000,500000000,375000000,312499999,312499999,10
2026-02-22 13:29:57,100029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,6000000000,250000000,250000000,250000000,125000000,375000000,375000000,125000000,125000000,0,787499999,787499999,10
2026-02-22 13:37:43,110009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,250000000,375000000,250000000,375000000,250000000,250000000,125000000,375000000,250000000,375000000,287499999,287499999,10
2026-02-22 13:37:44,110019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,375000000,250000000,250000000,250000000,500000000,375000000,375000000,375000000,375000000,500000000,362499999,362499999,10
2026-02-22 13:37:44,110029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5875000000,125000000,0,0,125000000,250000000,250000000,375000000,375000000,250000000,762499999,762499999,10
2026-02-22 13:45:31,120009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,500000000,250000000,500000000,250000000,500000000,250000000,375000000,375000000,250000000,125000000,337499999,337499999,10
2026-02-22 13:45:31,120019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,250000000,375000000,625000000,375000000,375000000,250000000,375000000,375000000,375000000,375000000,374999999,374999999,10
2026-02-22 13:45:32,120029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5750000000,125000000,125000000,0,0,250000000,250000000,375000000,250000000,0,712499999,712499999,10
2026-02-22 13:53:18,130009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,500000000,375000000,625000000,375000000,375000000,375000000,250000000,375000000,375000000,250000000,387500000,387500000,10
2026-02-22 13:53:19,130019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,375000000,250000000,500000000,375000000,375000000,375000000,250000000,625000000,250000000,375000000,375000000,375000000,10
2026-02-22 13:53:19,130029,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5875000000,125000000,0,125000000,0,0,250000000,375000000,250000000,250000000,724999999,724999999,10
2026-02-22 14:01:06,140009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,375000000,375000000,375000000,250000000,375000000,375000000,375000000,375000000,375000000,250000000,349999999,349999999,10
2026-02-22 14:01:06,140019,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,375000000,500000000,375000000,500000000,250000000,375000000,500000000,250000000,250000000,250000000,362499999,362499999,10
