Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2026-02-22 12:15:07,9,pairwise,LinkedCells,0.500000,lc_c08,none,AoS,disabled,27035583496,26855590820,26689880371,26855895996,26652221679,26811523437,26681762695,26937622070,26594726562,26775146484,26788995360,26788995360,10
2026-02-22 12:15:12,19,pairwise,LinkedCells,0.500000,lc_c08,none,AoS,enabled,26937133789,26667358398,26923095703,26574951171,26712402343,26829833984,26768798828,26932861328,26772705078,26778076171,26789721679,26789721679,10
2026-02-22 12:15:17,29,pairwise,LinkedCells,0.500000,lc_c08,none,SoA,disabled,45225585937,44954101562,44833740234,44811523437,45022460937,44754882812,44859619140,44728515625,44806152343,45054199218,44905078124,44905078124,10
2026-02-22 12:15:22,39,pairwise,LinkedCells,0.500000,lc_c08,none,SoA,enabled,44700195312,44641601562,44655273437,44808593750,44916503906,44640625000,44770019531,44760742187,44861816406,44666503906,44742187499,44742187499,10
2026-02-22 12:15:26,49,pairwise,LinkedCells,0.500000,lc_c18,none,AoS,disabled,25736816406,25726074218,25763671875,25779296875,25729492187,25702148437,25723144531,25689453125,25725585937,25727539062,25730322265,25730322265,10
2026-02-22 12:15:31,59,pairwise,LinkedCells,0.500000,lc_c18,none,AoS,enabled,25827636718,25752929687,25753906250,25816406250,25828613281,25621093750,25763671875,25617187500,25658203125,25854492187,25749414062,25749414062,10
2026-02-22 12:15:36,69,pairwise,LinkedCells,0.500000,lc_c18,none,SoA,disabled,33709960937,33811523437,33634765625,33883789062,33612304687,33696289062,33768554687,33694335937,33671875000,33656250000,33713964842,33713964842,10
2026-02-22 12:15:40,79,pairwise,LinkedCells,0.500000,lc_c18,none,SoA,enabled,33423828125,33575195312,33384765625,33561523437,33551757812,33544921875,33392578125,33583007812,33601562500,33631835937,33525097655,33525097655,10
2026-02-22 12:15:41,89,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,2287109375,1929687500,2002929687,1989257812,2007812500,2074218750,1991210937,1995117187,2148437500,1989257812,2041503905,2041503905,10
2026-02-22 12:15:42,99,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1527343750,1498046875,1415039062,1479492187,1629882812,1527343750,1419921875,1424804687,1520507812,1465820312,1490820311,1490820311,10
