Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-10-24 22:32:12,9,pairwise,LinkedCells,0.500000,lc_c08,none,AoS,disabled,27718070983,27554611206,27479049682,27486984252,27502563476,27539611816,27725128173,27501708984,27461425781,27536132812,27550528716,27550528716,10
2025-10-24 22:32:14,19,pairwise,LinkedCells,0.500000,lc_c08,none,AoS,enabled,27480346679,27561157226,27578186035,27449829101,27564941406,27608154296,27500976562,27576293945,27457763671,27755371093,27553302001,27553302001,10
2025-10-24 22:32:16,29,pairwise,LinkedCells,0.500000,lc_c08,none,SoA,disabled,46748291015,46596679687,46456542968,46530639648,46584350585,46569335937,46367065429,46346191406,46405883789,46535644531,46514062498,46514062498,10
2025-10-24 22:32:18,39,pairwise,LinkedCells,0.500000,lc_c08,none,SoA,enabled,46561767578,46306884765,45927246093,45799804687,45779052734,46054199218,45966064453,45967529296,46077392578,46115966796,46055590819,46055590819,10
2025-10-24 22:32:20,49,pairwise,LinkedCells,0.500000,lc_c18,none,AoS,disabled,26702148437,26794189453,26536132812,26639160156,26691894531,26661865234,26717041015,26855712890,26639160156,26569580078,26680688476,26680688476,10
2025-10-24 22:32:22,59,pairwise,LinkedCells,0.500000,lc_c18,none,AoS,enabled,26556884765,26400634765,26444091796,26416015625,26532470703,26573486328,26558837890,26558837890,26518554687,26576171875,26513598632,26513598632,10
2025-10-24 22:32:24,69,pairwise,LinkedCells,0.500000,lc_c18,none,SoA,disabled,34564208984,34468017578,34528076171,34627685546,34720458984,34632324218,34646972656,34383300781,34376464843,34617187500,34556469725,34556469725,10
2025-10-24 22:32:26,79,pairwise,LinkedCells,0.500000,lc_c18,none,SoA,enabled,34440917968,34446777343,34509277343,34616699218,34575195312,34519531250,34359863281,34437500000,34659179687,34711425781,34527636718,34527636718,10
2025-10-24 22:32:27,89,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,2354003906,2138183593,2171875000,2178222656,2033203125,2043457031,2078613281,1972656250,2149902343,2034179687,2115429686,2115429686,10
2025-10-24 22:32:27,99,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1472167968,1401367187,1525878906,1508300781,1285156250,1607421875,1492187500,1274902343,1713867187,1423828125,1470507811,1470507811,10
2025-10-24 22:32:27,109,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2189941406,2185546875,1954589843,1893554687,2087402343,1864746093,2040039062,1929687500,1920898437,2103515625,2016992186,2016992186,10
2025-10-24 22:32:27,119,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1583984375,1513671875,1628417968,1457519531,1515136718,1715820312,1417480468,1387695312,1379882812,1551269531,1515087890,1515087890,10
2025-10-24 22:32:27,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2156738281,2330078125,2208984375,2016601562,2066894531,2370117187,2276367187,1344238281,2200683593,2016113281,2098681639,2098681639,10
2025-10-24 22:32:27,139,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2216308593,1996582031,2113281250,1840332031,1680175781,2483398437,1596679687,2330566406,1945312500,1739257812,1994189452,1994189452,10
2025-10-24 22:32:28,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3228515625,3218750000,3203125000,3239746093,3172363281,3206542968,3189453125,3158691406,3127929687,3198242187,3194335937,3194335937,10
2025-10-24 22:32:28,159,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,3345703125,3169433593,3554199218,3320800781,3341796875,3176757812,3108398437,3222656250,3187011718,3227050781,3265380858,3265380858,10
2025-10-24 22:32:28,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4235351562,4226562500,4185058593,4180664062,4185058593,4099609375,4060546875,4205078125,4139648437,4231933593,4174951171,4174951171,10
2025-10-24 22:32:28,179,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,4175292968,4128417968,4211425781,4237792968,4273437500,4171386718,4245117187,4108886718,4153808593,4029296875,4173486326,4173486326,10
2025-10-24 22:32:29,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3377929687,3176757812,3191406250,3288085937,3166503906,3184082031,3475097656,3156738281,3142578125,3248046875,3240722655,3240722655,10
2025-10-24 22:32:29,199,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3195800781,3103515625,3356933593,3133300781,3074218750,3366699218,3352050781,3138183593,3295898437,3339843750,3235644530,3235644530,10
2025-10-24 22:32:29,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3668945312,3770019531,3967773437,3945800781,4030761718,4055175781,3866210937,4075195312,3890136718,3862792968,3913281249,3913281249,10
2025-10-24 22:32:29,219,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,3820312500,3722656250,3911621093,3693359375,3975097656,3906738281,4115234375,3717285156,3978515625,3800781250,3864160155,3864160155,10
2025-10-24 22:32:29,229,pairwise,VerletLists,0.500000,vl_list_iteration,none,AoS,disabled,5940917968,259277343,215332031,269531250,120117187,149414062,154296875,271484375,127929687,148437500,765673827,765673827,10
2025-10-24 22:32:30,239,pairwise,VerletLists,0.500000,vl_list_iteration,none,SoA,disabled,9803710937,1659179687,1684082031,1645019531,1415039062,1430664062,1539062500,1559082031,1505859375,1438964843,2368066405,2368066405,10
2025-10-24 22:32:30,249,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,5961425781,167968750,114257812,0,174804687,133789062,133789062,133789062,212890625,351562500,738427733,738427733,10
2025-10-24 22:32:30,259,pairwise,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,9417968750,1681640625,1656738281,1659667968,1666992187,1665039062,1607910156,1665527343,1502441406,1488769531,2401269530,2401269530,10
2025-10-24 22:32:30,269,pairwise,VerletListsCells,0.500000,vlc_c01,none,AoS,disabled,13145507812,2967773437,2928222656,3100097656,2970214843,2993164062,3146484375,2853515625,3078125000,2930664062,4011376952,4011376952,10
2025-10-24 22:32:31,279,pairwise,VerletListsCells,0.500000,vlc_c01,none,SoA,disabled,17890625000,4657714843,4298828125,4368652343,4477539062,4301269531,4448730468,4478515625,4314453125,4451171875,5768749999,5768749999,10
2025-10-24 22:32:31,289,pairwise,VerletListsCells,0.500000,vlc_c18,none,AoS,disabled,9086425781,3232421875,3303222656,3192871093,3266113281,3112792968,3274902343,3069335937,3247070312,3275878906,3806103515,3806103515,10
2025-10-24 22:32:31,299,pairwise,VerletListsCells,0.500000,vlc_c18,none,AoS,enabled,8865722656,3296875000,3307128906,3115234375,3447753906,3137695312,3304687500,3301757812,3289062500,3398437500,3846435546,3846435546,10
2025-10-24 22:32:31,309,pairwise,VerletListsCells,0.500000,vlc_c18,none,SoA,disabled,15651367187,4883300781,4998535156,4901367187,4863281250,5096191406,4831542968,4907226562,5018554687,4943847656,6009521483,6009521483,10
2025-10-24 22:32:32,319,pairwise,VerletListsCells,0.500000,vlc_c18,none,SoA,enabled,13694824218,4821777343,4758300781,4817382812,4683105468,5000976562,4945312500,4807128906,4812500000,4778808593,5712011717,5712011717,10
2025-10-24 22:32:32,329,pairwise,VerletListsCells,0.500000,vlc_c08,none,AoS,disabled,7473632812,3098144531,3075683593,2903808593,3029296875,3070800781,2854492187,2988769531,3113769531,2975585937,3458398436,3458398436,10
2025-10-24 22:32:32,339,pairwise,VerletListsCells,0.500000,vlc_c08,none,AoS,enabled,7190917968,3105468750,2985351562,3071289062,3113281250,3176757812,2939941406,2997070312,3107910156,3009765625,3469775389,3469775389,10
2025-10-24 22:32:32,349,pairwise,VerletListsCells,0.500000,vlc_c08,none,SoA,disabled,13005859375,4681640625,4711914062,4763183593,4853027343,4839843750,4597656250,4824707031,4939453125,4854492187,5607177733,5607177733,10
2025-10-24 22:32:33,359,pairwise,VerletListsCells,0.500000,vlc_c08,none,SoA,enabled,12382324218,4698242187,4515625000,4645019531,4790527343,4606445312,4665527343,4627441406,4522949218,4425781250,5387988280,5387988280,10
2025-10-24 22:32:33,369,pairwise,VerletListsCells,0.500000,vlc_sliced,none,AoS,disabled,6949707031,1257812500,1291992187,1094726562,1198242187,1336425781,1262207031,1288574218,1281738281,1214843750,1817626952,1817626952,10
2025-10-24 22:32:33,379,pairwise,VerletListsCells,0.500000,vlc_sliced,none,AoS,enabled,5993652343,760742187,604492187,599121093,816406250,801757812,713867187,711914062,677734375,582031250,1226171874,1226171874,10
2025-10-24 22:32:33,389,pairwise,VerletListsCells,0.500000,vlc_sliced,none,SoA,disabled,13057617187,2832031250,2841796875,2693847656,2751953125,2588867187,2687988281,2777343750,2618164062,2794921875,3764453124,3764453124,10
2025-10-24 22:32:34,399,pairwise,VerletListsCells,0.500000,vlc_sliced,none,SoA,enabled,11083984375,2425781250,1941406250,2162597656,1985839843,2149414062,2132324218,2297851562,2264648437,2289062500,3073291015,3073291015,10
