Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-04 14:52:42,9,pairwise,LinkedCells,0.500000,lc_c08,none,AoS,disabled,82562864,81721340,81696113,81699286,81720383,81692000,81736243,81746014,81730515,81724544,81802930,81802930,10
2025-09-04 14:52:44,19,pairwise,LinkedCells,0.500000,lc_c08,none,AoS,enabled,82090601,81733474,81741777,81733866,81727866,81715371,81721293,81713453,81722810,81728402,81762891,81762891,10
2025-09-04 14:52:46,29,pairwise,LinkedCells,0.500000,lc_c08,none,SoA,disabled,131773665,123105656,123263095,123271072,123142014,123136550,122959592,123031965,123091564,123124919,123990008,123990008,10
2025-09-04 14:52:48,39,pairwise,LinkedCells,0.500000,lc_c08,none,SoA,enabled,122571554,122432546,122546481,122465376,122577449,122681113,122576763,122482667,122365182,122425808,122512493,122512493,10
2025-09-04 14:52:50,49,pairwise,LinkedCells,0.500000,lc_c18,none,AoS,disabled,81017430,80998106,81036328,80975601,81046715,81007398,81061400,81043827,81019695,81037994,81024449,81024449,10
2025-09-04 14:52:52,59,pairwise,LinkedCells,0.500000,lc_c18,none,AoS,enabled,81036591,81010756,81034042,80995024,81012568,81001398,81021845,81011361,81056971,81010580,81019113,81019113,10
2025-09-04 14:52:54,69,pairwise,LinkedCells,0.500000,lc_c18,none,SoA,disabled,95488663,95105925,95364544,95252653,95215919,95338956,95288305,95303864,95065343,95432508,95285668,95285668,10
2025-09-04 14:52:56,79,pairwise,LinkedCells,0.500000,lc_c18,none,SoA,enabled,95221483,94934798,95118643,95280179,95343069,95059069,95011706,95131798,95165686,95150704,95141713,95141713,10
2025-09-04 14:52:56,89,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6819322,6247907,6262327,6237435,6212542,6222356,6222794,6197616,6222383,6193513,6283819,6283819,10
2025-09-04 14:52:57,99,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4456914,4462986,4458108,4425385,4447923,4432039,4438593,4440713,4438924,4446552,4444813,4444813,10
2025-09-04 14:52:57,109,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,5950118,5752204,5682444,5716203,5648469,5713734,5663723,5658006,5681690,5729364,5719594,5719594,10
2025-09-04 14:52:57,119,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,4565995,4545844,4508438,4493098,4554157,4475419,4537207,4428522,4528004,4550744,4518742,4518742,10
2025-09-04 14:52:57,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,6320503,6343494,6312413,6251675,6280131,6312345,6365032,6364493,6427541,6398089,6337571,6337571,10
2025-09-04 14:52:57,139,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,6255844,6347759,6309138,6326952,6372020,6233871,6597260,6298793,6346121,6381895,6346964,6346964,10
2025-09-04 14:52:58,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,10177460,10186276,10180419,10179169,10183844,10174939,10182574,10172120,10176489,10184718,10179800,10179800,10
2025-09-04 14:52:58,159,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,10185033,10167596,10181198,10167163,10195463,10182172,10179543,10180486,10169683,10170111,10177844,10177844,10
2025-09-04 14:52:58,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,12260623,12202000,12201961,12200991,12199692,12189688,12211132,12231842,12201043,12202093,12210106,12210106,10
2025-09-04 14:52:58,179,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,12210403,12177683,12212244,12190116,12187186,12196119,12279329,12190887,12183287,12203196,12203044,12203044,10
2025-09-04 14:52:59,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,10451481,10444678,10434214,10440008,10436293,10444423,10437062,10427584,10433745,10431055,10438053,10438053,10
2025-09-04 14:52:59,199,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,10428646,10434608,10438403,10438010,10419736,10425320,10434672,10442266,10444895,10439666,10434622,10434622,10
2025-09-04 14:52:59,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,11943847,11934866,11917685,11913185,11919681,11917422,11899109,11901232,11902284,11914382,11916369,11916369,10
2025-09-04 14:52:59,219,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,11905700,11906604,11913103,11915048,11923926,11899441,11915965,11902187,11892433,11898307,11907271,11907271,10
2025-09-04 14:52:59,229,pairwise,VerletLists,0.500000,vl_list_iteration,none,AoS,disabled,17763311,693487,690601,699647,697178,696974,686626,695092,694148,690199,2400725,2400725,10
2025-09-04 14:53:00,239,pairwise,VerletLists,0.500000,vl_list_iteration,none,SoA,disabled,30329803,5494239,4826887,4796589,4798426,4779667,4796015,4786843,4795224,4799910,7420359,7420359,10
2025-09-04 14:53:00,249,pairwise,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,17964395,700285,698224,693634,693787,696046,693946,688222,694531,693660,2421672,2421672,10
2025-09-04 14:53:00,259,pairwise,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,28688945,4883493,4801389,4815927,4826486,4799966,4805171,4775985,4780304,4793957,7197161,7197161,10
2025-09-04 14:53:00,269,pairwise,VerletListsCells,0.500000,vlc_c01,none,AoS,disabled,34778498,9384483,9378752,9368977,9386267,9385061,9373194,9385107,9383267,9398036,11922163,11922163,10
2025-09-04 14:53:01,279,pairwise,VerletListsCells,0.500000,vlc_c01,none,SoA,disabled,51766771,14253050,14192972,14151544,14164236,14161932,14179675,14160838,14167551,14192212,17939077,17939077,10
2025-09-04 14:53:01,289,pairwise,VerletListsCells,0.500000,vlc_c18,none,AoS,disabled,25514251,10630674,10612754,10628792,10604001,10601354,10603218,10629148,10585927,10613148,12102325,12102325,10
2025-09-04 14:53:01,299,pairwise,VerletListsCells,0.500000,vlc_c18,none,AoS,enabled,24573194,10448253,10462203,10453999,10453024,10452410,10448623,10457530,10455661,10444983,11864987,11864987,10
2025-09-04 14:53:01,309,pairwise,VerletListsCells,0.500000,vlc_c18,none,SoA,disabled,47811923,15319212,15308358,15320970,15332882,15322586,15305031,15289998,15306551,15296159,18561366,18561366,10
2025-09-04 14:53:02,319,pairwise,VerletListsCells,0.500000,vlc_c18,none,SoA,enabled,42215986,15402305,15333683,15459563,15289963,15283035,15304038,15264474,15294006,15273842,18012088,18012088,10
2025-09-04 14:53:02,329,pairwise,VerletListsCells,0.500000,vlc_c08,none,AoS,disabled,21481880,9928690,9930985,9923420,9923037,9929002,9938972,9915477,9936574,9936878,11084491,11084491,10
2025-09-04 14:53:02,339,pairwise,VerletListsCells,0.500000,vlc_c08,none,AoS,enabled,21369476,9924086,9922990,9914238,9925765,9915531,9927351,9901621,9936473,9927686,11066521,11066521,10
2025-09-04 14:53:02,349,pairwise,VerletListsCells,0.500000,vlc_c08,none,SoA,disabled,41796754,14903157,14867982,14843896,14869953,14868783,14833926,14838987,14868859,14823626,17551591,17551591,10
2025-09-04 14:53:03,359,pairwise,VerletListsCells,0.500000,vlc_c08,none,SoA,enabled,39077100,14825891,14773743,14766569,14764918,14764433,14775371,14764094,14761788,14748419,17202231,17202231,10
2025-09-04 14:53:03,369,pairwise,VerletListsCells,0.500000,vlc_sliced,none,AoS,disabled,18724611,3873173,3789853,3781631,3758395,3799100,3776139,3748418,3759507,3758684,5276950,5276950,10
2025-09-04 14:53:03,379,pairwise,VerletListsCells,0.500000,vlc_sliced,none,AoS,enabled,16122730,1994015,1993180,1990065,1958868,1980290,1968755,1967938,1956764,1972711,3390530,3390530,10
2025-09-04 14:53:03,389,pairwise,VerletListsCells,0.500000,vlc_sliced,none,SoA,disabled,40503805,8400744,8353005,8429032,8319183,8347358,8340792,8332368,8393696,8356161,11577614,11577614,10
2025-09-04 14:53:03,399,pairwise,VerletListsCells,0.500000,vlc_sliced,none,SoA,enabled,34069500,6831433,6787714,6771733,6780124,6735174,6771221,6739690,6744292,6737390,9496827,9496827,10
2025-09-04 14:53:04,409,pairwise,VerletListsCells,0.500000,vlc_sliced_c02,none,AoS,disabled,19614094,4613734,4573708,4573756,4554063,4570859,4564471,4556669,4582362,4572999,6077671,6077671,10
2025-09-04 14:53:04,419,pairwise,VerletListsCells,0.500000,vlc_sliced_c02,none,AoS,enabled,16528987,2431839,2419091,2427857,2419863,2421208,2393196,2403622,2420687,2398019,3826436,3826436,10
2025-09-04 14:53:04,429,pairwise,VerletListsCells,0.500000,vlc_sliced_c02,none,SoA,disabled,41040325,9398748,9322825,9351622,9359787,9316724,9287603,9366856,9313122,9285454,12504305,12504305,10
2025-09-04 14:53:04,439,pairwise,VerletListsCells,0.500000,vlc_sliced_c02,none,SoA,enabled,34409545,7380640,7338003,7346763,7274117,7319480,7297112,7272216,7248359,7334864,10022109,10022109,10
2025-09-04 14:53:05,449,pairwise,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,35408669,9785693,9789789,9766907,9776411,9791373,9751267,9780031,9738560,9779505,12336819,12336819,10
2025-09-04 14:53:05,459,pairwise,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,51573084,14007730,13924727,13914881,13891118,13934208,13887436,13911063,13900329,13889443,17683401,17683401,10
2025-09-04 14:53:05,469,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,25720274,10367204,10375730,10360267,10353096,10364974,10350439,10370208,10356736,10355863,11897479,11897479,10
2025-09-04 14:53:05,479,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,25016457,10351391,10360472,10341502,10357426,10391175,10353107,10356139,10364003,10346186,11823785,11823785,10
2025-09-04 14:53:06,489,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,47989962,15370318,15334116,15345345,15344166,15324015,15290397,15292310,15461844,15301473,18605394,18605394,10
2025-09-04 14:53:06,499,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,42487871,15366959,15343097,15328398,15313991,15298806,15293655,15312676,15289728,15295415,18033059,18033059,10
2025-09-04 14:53:06,509,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,disabled,21225294,10039379,10040906,10050241,10023136,10043597,10031420,10053777,10022919,10033714,11156437,11156437,10
2025-09-04 14:53:06,519,pairwise,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,21536193,10040076,10026533,10026791,10042068,10033190,10030729,10041774,10017442,10028723,11182351,11182351,10
2025-09-04 14:53:07,529,pairwise,VerletListsCells,1.000000,vlc_c08,none,SoA,disabled,41715507,14822586,14809607,14782896,14782696,14756988,14731024,14779363,14750719,14774871,17470625,17470625,10
2025-09-04 14:53:07,539,pairwise,VerletListsCells,1.000000,vlc_c08,none,SoA,enabled,38774319,14816463,14735647,14719725,14728411,14704531,14690725,14705383,14702301,14854930,17143242,17143242,10
2025-09-04 14:53:07,549,pairwise,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,18673916,3808976,3860829,3783488,3766914,3718350,3764679,3825119,3765595,3766015,5273387,5273387,10
2025-09-04 14:53:07,559,pairwise,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,16258645,1983172,1963354,1935904,1942090,1932481,1961850,1939836,1954383,1946123,3381783,3381783,10
2025-09-04 14:53:08,569,pairwise,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,40574976,8347453,8327329,8305983,8331361,8328641,8462275,8362558,8377652,8322825,11574105,11574105,10
2025-09-04 14:53:08,579,pairwise,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,33703638,6802190,6710330,6732350,6701724,6759001,6728402,6743886,6764040,6702138,9434769,9434769,10
2025-09-04 14:53:08,589,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,19318303,4520754,4518251,4487513,4485497,4491381,4474947,4477453,4482957,4477391,5973444,5973444,10
2025-09-04 14:53:08,599,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,16711779,2399930,2400380,2380643,2389366,2369844,2367962,2379247,2367251,2364280,3813068,3813068,10
2025-09-04 14:53:08,609,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,disabled,41148167,9216478,9261029,9293307,9376097,9301079,9474297,9250454,9259054,9294010,12487397,12487397,10
2025-09-04 14:53:09,619,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,34250554,7338585,7325866,7337293,7313885,7299175,7288352,7296800,7279843,7231365,9996171,9996171,10
2025-09-04 14:53:09,629,pairwise,PairwiseVerletLists,0.500000,vlp_c01,none,AoS,disabled,76754933,9852367,9777810,9778788,9775748,9787855,9858171,9778731,9778765,9780773,16492393,16492393,10
2025-09-04 14:53:09,639,pairwise,PairwiseVerletLists,0.500000,vlp_c01,none,SoA,disabled,136380869,15408314,15272614,15256834,15411050,15268595,15280148,15271892,15273566,15277352,27410122,27410122,10
2025-09-04 14:53:10,649,pairwise,PairwiseVerletLists,0.500000,vlp_c18,none,AoS,disabled,42162810,10868738,10858324,10869055,10851320,10862953,10849172,10861536,10856466,10875665,13991603,13991603,10
2025-09-04 14:53:10,659,pairwise,PairwiseVerletLists,0.500000,vlp_c18,none,AoS,enabled,41037192,10862451,10836340,10849486,10849542,10840252,10850064,10843439,10849843,10863859,13868246,13868246,10
2025-09-04 14:53:10,669,pairwise,PairwiseVerletLists,0.500000,vlp_c18,none,SoA,disabled,119536405,16731927,16739069,16733640,16755211,16783237,16746381,16755887,16734081,16736863,27025270,27025270,10
2025-09-04 14:53:11,679,pairwise,PairwiseVerletLists,0.500000,vlp_c18,none,SoA,enabled,109729757,16620603,16615982,16619731,16657505,16620552,16610276,16620521,16637512,16602422,25933485,25933485,10
2025-09-04 14:53:11,689,pairwise,PairwiseVerletLists,0.500000,vlp_sliced,none,AoS,disabled,37341247,5113409,5051079,5095064,5118878,5067427,5081762,5077261,5076544,5061525,8308418,8308418,10
2025-09-04 14:53:11,699,pairwise,PairwiseVerletLists,0.500000,vlp_sliced,none,AoS,enabled,33710699,3291330,3302169,3254200,3269628,3246888,3240270,3225323,3247208,3235959,6302367,6302367,10
2025-09-04 14:53:11,709,pairwise,PairwiseVerletLists,0.500000,vlp_sliced,none,SoA,disabled,109418289,10935750,10940142,10980267,11008479,10976881,10946438,10970445,10962851,10933198,20807273,20807273,10
2025-09-04 14:53:12,719,pairwise,PairwiseVerletLists,0.500000,vlp_sliced,none,SoA,enabled,101564126,9501711,9465051,9413352,9492113,9469935,9394626,9493992,9506949,9486428,18678827,18678827,10
2025-09-04 14:53:12,729,pairwise,PairwiseVerletLists,0.500000,vlp_sliced_c02,none,AoS,disabled,38353813,6186765,6227293,6190400,6233217,6153133,6176018,6132236,6155030,6163121,9397102,9397102,10
2025-09-04 14:53:12,739,pairwise,PairwiseVerletLists,0.500000,vlp_sliced_c02,none,AoS,enabled,34287036,3794962,3766235,3727327,3803555,3761104,3738743,3749508,3759166,3749636,6813726,6813726,10
2025-09-04 14:53:12,749,pairwise,PairwiseVerletLists,0.500000,vlp_sliced_c02,none,SoA,disabled,112186272,12094992,12275590,12123702,12208578,12259365,12126534,12171932,12135610,12281095,22186366,22186366,10
2025-09-04 14:53:13,759,pairwise,PairwiseVerletLists,0.500000,vlp_sliced_c02,none,SoA,enabled,102872459,10297719,10305161,10374593,10364831,10352293,10356733,10444628,10249834,10388867,19600711,19600711,10
